Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
54,1159026594,Beggsie,0,154.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit SS Johan Camargo C Martín Maldonado OF Kole Calhoun,,Gregory Polanco,OF,5.80%,2
55,1159262290,chopkins07,0,154.65,P German Márquez P Eric Lauer OF J.D. Martinez OF Mookie Betts OF Giancarlo Stanton SS Xander Bogaerts 2B Robinson Canó 1B Luke Voit 3B Eduardo Núñez C Sandy Leon,,Nolan Arenado,3B,5.76%,2
56,1159593122,thespear007,0,154.6,P Justin Verlander P German Márquez OF Khris Davis OF Nicholas Castellanos OF Stephen Piscotty SS Marcus Semien 3B Kyle Seager 2B Niko Goodrum 1B Victor Martinez C James McCann,,Kyle Higashioka,C,5.51%,2
57,1159401777,asvpxjake,0,153.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton 3B Nolan Arenado OF Ronald Acuña Jr. 2B Gleyber Torres 1B Luke Voit SS Johan Camargo OF Steven Souza Jr. C Sandy Leon,,Adam Frazier,OF,5.51%,7
58,1159394026,Driscoll419,0,153.35,P German Márquez P John Gant OF J.D. Martinez OF Mookie Betts OF Andrew Benintendi 1B Freddie Freeman 2B Robinson Canó 3B Johan Camargo SS Ronald Torreyes C James McCann,,Starling Marte,OF,5.42%,9
58,1159496267,hassan1087,0,153.35,P German Márquez P John Gant OF J.D. Martinez OF Mookie Betts OF Mike Trout SS Manny Machado 1B Matt Olson 3B David Fletcher 2B Ronny Rodriguez C James McCann,,Kole Calhoun,OF,5.34%,10
58,1159539233,fitzy73,0,153.35,P German Márquez P Wade LeBlanc OF J.D. Martinez OF Mookie Betts OF Giancarlo Stanton 3B Miguel Andújar 2B Ian Kinsler 1B Josh Bell C Sandy Leon SS Greg Garcia,,Josh Bell,1B,5.30%,9
61,1159198773,jasper55,0,152.65,P Rich Hill P German Márquez OF J.D. Martinez OF Mookie Betts OF Nelson Cruz SS Marcus Semien 3B Jeimer Candelario 2B David Fletcher 1B Victor Martinez C James McCann,,Kiké Hernández,SS,5.21%,3
61,1159594506,Benay,0,152.65,P Rich Hill P German Márquez OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres 1B Luke Voit SS Johan Camargo 3B Kyle Seager OF JaCoby Jones C James McCann,,Paul Goldschmidt,1B,4.96%,6
63,1159486332,fillmoreslimm,0,152.6,P Justin Verlander P German Márquez OF Giancarlo Stanton 1B Luke Voit SS Johan Camargo OF Matt Adams OF Steven Souza Jr. 3B Kyle Seager C Mike Zunino 2B Ronny Rodriguez,,Jed Lowrie,2B,4.92%,5
63,1159596465,djwagner92,0,152.6,P Justin Verlander P German Márquez OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres OF Steven Souza Jr. 1B Victor Martinez OF Shane Robinson C John Ryan Murphy SS Greg Garcia,,Manny Machado,SS,4.84%,19
65,1159441005,jdmgolf,0,152.35,P German Márquez P John Gant 3B Justin Turner 2B Gleyber Torres 1B Tyler White OF Mitch Haniger OF Marwin González OF Jackie Bradley Jr. C Yadier Molina SS Johan Camargo,,Matt Carpenter,3B,4.67%,4
65,1159559121,bsmitt,0,152.35,P German Márquez P John Gant 3B Justin Turner 2B Gleyber Torres 1B Tyler White OF Mitch Haniger OF Marwin González OF Jackie Bradley Jr. C Yadier Molina SS Johan Camargo,,Ramón Laureano,OF,4.58%,7
67,1159189496,jonvp0826,0,151.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres OF Nicholas Castellanos 1B Luke Voit SS Johan Camargo 3B Eduardo Núñez C Kyle Higashioka,,Francisco Cervelli,C,4.50%,3
67,1159524601,mbaggia08,0,151.9,P German Márquez P Joe Musgrove OF J.D. Martinez OF Mookie Betts OF Giancarlo Stanton 1B Luke Voit SS Marcus Semien 2B Eduardo Núñez 3B Kyle Seager C James McCann,,Mitch Haniger,OF,4.46%,17
69,1159268716,Reggie55,0,151.85,P Rick Porcello P German Márquez OF J.D. Martinez OF Mookie Betts SS Xander Bogaerts OF Jackie Bradley Jr. 1B Victor Martinez 3B Ronny Rodriguez C Sandy Leon 2B Greg Garcia,,Kurt Suzuki,C,4.42%,7
70,1159528156,m1z3r65,0,151.6,P German Márquez P Robbie Ray OF Giancarlo Stanton OF Ronald Acuña Jr. 3B Miguel Andújar 1B Freddie Freeman SS Johan Camargo 2B Ian Kinsler OF Adam Duvall C Sandy Leon,,A.J. Pollock,OF,4.37%,2
