Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
53,1139724948,dragroute (3/3),0,151.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed OF Mitch Haniger 2B Dee Gordon C Buster Posey 3B Jefry Marte,,Carlos Asuaje,2B,2.62%,2
53,1139801446,deval20 (4/14),0,151.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF Christian Yelich 1B Paul Goldschmidt SS Nick Ahmed 2B Ketel Marte 3B Mike Moustakas C Buster Posey OF Ben Gamel,,Chris Owings,OF,2.62%,7
53,1139803264,Dakota5,0,151.45,P Marco Gonzales P Clay Buchholz OF Mike Trout OF Nelson Cruz OF Justin Upton 1B Albert Pujols 2B Dee Gordon C Buster Posey 3B Pablo Sandoval SS Freddy Galvis,,Steven Duggar,OF,2.41%,4
53,1139928590,karlmeisel (2/2),0,151.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock SS Nick Ahmed OF Denard Span OF Steven Souza Jr. 2B Dee Gordon 1B Ryan Braun 3B Kyle Seager C Mike Zunino,,Travis Jankowski,OF,2.26%,0
53,1140062946,dogmeat58,0,151.45,P Marco Gonzales P Clay Buchholz OF Mike Trout SS Jean Segura 2B Ketel Marte 1B Ryan Braun OF Hernán Pérez C Buster Posey 3B Kyle Seager OF Ben Gamel,,Francisco Arcia,C,1.93%,0
53,1140064057,baldsta46 (3/5),0,151.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Nick Ahmed OF Denard Span OF David Peralta 2B Ketel Marte 3B Kyle Seager C Mike Zunino OF Ben Gamel,,Eric Thames,OF,1.19%,3
53,1140067622,lab1979,0,151.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt OF Denard Span OF Ryan Braun OF Gorkys Hernández SS Brandon Crawford 2B Alen Hanson 3B Pablo Sandoval C Mike Zunino,,Gorkys Hernández,OF,0.84%,18
53,1140082126,dollabill1129,0,151.45,P Marco Gonzales P Clay Buchholz OF Mike Trout SS Nick Ahmed OF Justin Upton 2B Dee Gordon 1B Ryon Healy OF Hernán Pérez 3B Kyle Seager C Mike Zunino,,Daniel Descalso,2B,0.67%,0
61,1140100541,jbhoot22 (1/4),0,151.2,P Marco Gonzales P Andrew Suárez OF A.J. Pollock 1B Paul Goldschmidt SS Jean Segura 2B Ian Kinsler OF Justin Upton OF Gorkys Hernández 3B Evan Longoria C Mike Zunino,,Austin Hedges,C,0.63%,0
61,1140100586,jbhoot22 (2/4),0,151.2,P Marco Gonzales P Andrew Suárez OF A.J. Pollock 1B Paul Goldschmidt SS Jean Segura 2B Ian Kinsler OF Justin Upton OF Gorkys Hernández 3B Evan Longoria C Mike Zunino,,Travis Shaw,3B,0.50%,14
63,1139653487,DFSplash (12/20),0,150.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Ketel Marte OF Justin Upton 2B Dee Gordon C Mike Zunino 3B David Fletcher,,Alex Avila,C,0.45%,0
63,1139715294,snowfox9,0,150.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt 2B Dee Gordon OF Gorkys Hernández SS Brandon Crawford 3B Jefry Marte OF Ben Gamel C Manny Piña,,Shohei Ohtani,OF,0.39%,0
63,1139844376,buchris532 (4/20),0,150.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock SS Nick Ahmed 3B Mike Moustakas OF Andrew McCutchen 1B Ryan Braun OF Hernán Pérez 2B Alen Hanson C Buster Posey,,José Pirela,2B,0.31%,0
63,1139853398,buchris532 (11/20),0,150.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock SS Nick Ahmed 3B Mike Moustakas OF Andrew McCutchen 1B Ryan Braun OF Hernán Pérez 2B Alen Hanson C Buster Posey,,Jon Jay,OF,0.22%,0
