Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
,,,,,,,Nick Markakis,OF,3.23%,8
,,,,,,,Mason Williams,OF,3.23%,18
,,,,,,,Joey Wendle,2B,3.23%,9
,,,,,,,Shin-soo Choo,OF,3.23%,16
,,,,,,,Jurickson Profar,SS,3.23%,18
,,,,,,,Paul Goldschmidt,1B,3.23%,7
,,,,,,,Albert Almora Jr.,OF,3.23%,0
,,,,,,,Andrelton Simmons,SS,3.23%,0
,,,,,,,Alex Bregman,3B,3.23%,2
,,,,,,,Anthony Rizzo,1B,3.23%,17
,,,,,,,José Abreu,1B,3.23%,5
,,,,,,,Mark Canha,OF,3.23%,3
,,,,,,,Chris Davis,1B,3.23%,8
,,,,,,,Marcell Ozuna,OF,3.23%,6
,,,,,,,César Hernández,2B,3.23%,10
,,,,,,,Tucker Barnhart,C,3.23%,9
,,,,,,,Alex Verdugo,OF,3.23%,14
,,,,,,,Jeff Mathis,C,3.23%,7
,,,,,,,Bryce Harper,OF,3.23%,12
,,,,,,,Niko Goodrum,2B,3.23%,7
,,,,,,,Matt Adams,OF,3.23%,15
,,,,,,,Tyler Naquin,OF,3.23%,0
,,,,,,,Didi Gregorius,SS,3.23%,0
,,,,,,,Carlos Gómez,OF,1.61%,5
,,,,,,,José Martínez,1B,1.61%,5
,,,,,,,Danny Valencia,OF,1.61%,13
,,,,,,,Jean Segura,SS,1.61%,2
,,,,,,,Keon Broxton,OF,1.61%,7
,,,,,,,Matt Kemp,OF,1.61%,6
,,,,,,,Victor Caratini,1B,1.61%,0
,,,,,,,Starlin Castro,2B,1.61%,2
,,,,,,,Leonys Martin,OF,1.61%,6
,,,,,,,John Hicks,C,1.61%,3
,,,,,,,Matt Carpenter,1B,1.61%,2
,,,,,,,Evan Longoria,3B,1.61%,2
,,,,,,,Steven Duggar,OF,1.61%,3
,,,,,,,Dallas Keuchel,P,1.61%,10.45
,,,,,,,Kendrys Morales,1B,1.61%,16
,,,,,,,Odúbel Herrera,OF,1.61%,16
,,,,,,,Max Muncy,3B,1.61%,2
,,,,,,,Mike Fiers,P,1.61%,11.3
,,,,,,,Matt Olson,1B,1.61%,0
,,,,,,,James McCann,C,1.61%,5
,,,,,,,Randal Grichuk,OF,1.61%,20
,,,,,,,Pablo López,P,1.61%,3.55
,,,,,,,Jake Bauers,OF,1.61%,7
,,,,,,,Steve Pearce,OF,1.61%,5
,,,,,,,Trey Mancini,OF,1.61%,5
,,,,,,,Tim Beckham,3B,1.61%,16
,,,,,,,Nick Pivetta,P,1.61%,22.7
,,,,,,,Dee Gordon,2B,1.61%,14
,,,,,,,Xander Bogaerts,SS,1.61%,0
,,,,,,,Mike Foltynewicz,P,1.61%,13.85
,,,,,,,Freddie Freeman,1B,1.61%,0
,,,,,,,Brian Anderson,3B,1.61%,2
,,,,,,,Max Kepler,OF,1.61%,9
,,,,,,,Ryan Braun,1B,1.61%,7
,,,,,,,Jason Heyward,OF,1.61%,3
,,,,,,,Russell Martin,C,1.61%,13
,,,,,,,Jason Kipnis,2B,1.61%,0
,,,,,,,Melky Cabrera,OF,1.61%,3
,,,,,,,Javier Báez,2B,1.61%,17
,,,,,,,Maikel Franco,3B,1.61%,0
,,,,,,,Buster Posey,C,1.61%,7
,,,,,,,José Iglesias,SS,1.61%,5
,,,,,,,Kevin Kiermaier,OF,1.61%,8
,,,,,,,Jon Jay,OF,1.61%,10
,,,,,,,José Ramírez,3B,1.61%,6
,,,,,,,Carlos Tocci,OF,1.61%,10
,,,,,,,Neil Walker,2B,1.61%,0
,,,,,,,Omar Narváez,C,1.61%,0
,,,,,,,Yoán Moncada,2B,1.61%,3
,,,,,,,Gregory Polanco,OF,1.61%,8
,,,,,,,Orlando Arcia,SS,1.61%,5
,,,,,,,Albert Pujols,1B,1.61%,7
,,,,,,,Alcides Escobar,SS,1.61%,0
,,,,,,,Caleb Joseph,C,1.61%,2
,,,,,,,Amed Rosario,SS,1.61%,0
,,,,,,,Mookie Betts,OF,1.61%,21
,,,,,,,Ian Desmond,1B,1.61%,5
