Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
71,1155811714,moldova,0,107.15,P Zack Godley C Wilson Ramos OF Shin-soo Choo SS Amed Rosario 1B Eric Hosmer 2B Neil Walker OF Odúbel Herrera OF Robbie Grossman 3B Hunter Dozier P Mike Foltynewicz,,Evan Longoria,3B,4.64%,10
72,1155728704,crobi31725 (1/2),0,107,P Rich Hill P CC Sabathia 1B Edwin Encarnacion SS Trea Turner OF Steve Pearce OF Melky Cabrera 2B Jason Kipnis 3B Evan Longoria C Buster Posey OF Brandon Lowe,,Freddie Freeman,1B,4.64%,3
72,1155761099,BeltWieldindad (3/7),0,107,P Dan Straily P Alex Cobb 1B Matt Carpenter OF Bryce Harper OF Christian Yelich SS Manny Machado OF Tyler O'Neill C Yadier Molina 2B Travis Shaw 3B Mike Moustakas,,Randal Grichuk,OF,4.64%,8
74,1155752106,Immaculate11 (2/3),0,106.35,P Miles Mikolas P Brad Keller SS Paul DeJong 3B Justin Turner OF Tyler O'Neill 2B Jedd Gyorko 1B José Martínez C Yadier Molina OF Matt Kemp OF Chris Taylor,,Jason Kipnis,2B,4.64%,0
75,1155830717,paradisecmk,0,106.2,P Rich Hill P Jake Arrieta 1B Joey Gallo C Yasmani Grandal SS Marcus Semien OF Jackie Bradley Jr. 3B Yolmer Sánchez OF Daniel Palka OF Randal Grichuk 2B Lourdes Gurriel Jr.,,Xander Bogaerts,SS,4.64%,13
76,1155761100,BeltWieldindad (4/7),0,106.15,P Zack Godley P Dan Straily OF Giancarlo Stanton SS Francisco Lindor OF Rhys Hoskins OF Brett Gardner 3B Matt Chapman 1B Matt Olson 2B Neil Walker C Jonathan Lucroy,,Nick Martini,OF,4.22%,7
77,1155700031,Shaunovery (4/7),0,105.4,P CC Sabathia P Dan Straily 3B Justin Turner SS Manny Machado 1B Edwin Encarnacion C Yadier Molina 2B Brian Dozier OF Matt Kemp OF Nick Martini OF Mark Canha,,Johan Camargo,SS,4.22%,5
78,1155684280,ShunnboyWalton,0,105.25,P Miles Mikolas P Gio Gonzalez OF David Peralta OF Mookie Betts 1B Ryan Zimmerman 3B Justin Turner 2B Jose Altuve SS Jurickson Profar OF Billy McKinney C Robinson Chirinos,,Todd Frazier,3B,4.22%,3
79,1155699568,mullaner,0,104.75,P Rich Hill P Zack Godley OF Christian Yelich 3B Justin Turner OF Nicholas Castellanos OF Nick Markakis 2B Lourdes Gurriel Jr. 1B Jim Adduci SS José Iglesias C James McCann,,Jalen Beeks,P,4.22%,12
79,1155821624,galexander21 (3/7),0,104.75,P Rich Hill P Zack Godley OF Bryce Harper 3B Anthony Rendon SS Trea Turner OF Adam Jones 2B Neil Walker C Matt Wieters OF Trey Mancini 1B Chris Davis,,Adam Jones,OF,4.22%,6
81,1155739007,Prf15,0,104.6,P Rich Hill P Alex Cobb 3B Nolan Arenado SS Trevor Story OF David Dahl OF Carlos González OF Steven Souza Jr. 2B Ketel Marte 1B Lucas Duda C Tony Wolters,,Ian Desmond,1B,4.22%,4
82,1155774392,mrsesterhouse,0,104.2,P Rich Hill P Jake Arrieta 1B Matt Carpenter SS Francisco Lindor OF Carlos Gómez C Salvador Perez 2B Logan Forsythe OF Mark Canha OF Robbie Grossman 3B Hunter Dozier,,Trey Mancini,OF,4.22%,2
83,1155671972,jgAllDay (6/7),0,104.15,P Zack Godley P Dan Straily 3B José Ramírez OF Michael Brantley 1B Edwin Encarnacion OF Shin-soo Choo OF Joey Gallo 2B Rougned Odor C Isiah Kiner-Falefa SS Elvis Andrus,,Juan Soto,OF,4.22%,3
84,1155706458,charlies38,0,103.4,P CC Sabathia OF Harrison Bader SS Johan Camargo 3B David Freese 2B Jeff McNeil OF Stephen Piscotty OF Randal Grichuk 1B Jim Adduci C James McCann P Mike Foltynewicz,,Jesús Aguilar,1B,3.80%,9
85,1155708489,Shaunovery (7/7),0,103.2,P Mike Clevinger P CC Sabathia OF Nicholas Castellanos 3B Todd Frazier 1B Wilmer Flores SS Amed Rosario 2B Jeff McNeil OF Jay Bruce OF Mikie Mahtook C James McCann,,Travis Shaw,2B,3.80%,2
86,1155699968,tampayardie (1/2),0,103.05,P Zack Godley P Jalen Beeks 3B Nolan Arenado OF Giancarlo Stanton OF Aaron Hicks C Wilson Ramos OF Brett Gardner 2B Gleyber Torres SS Lourdes Gurriel Jr. 1B Neil Walker,,Ender Inciarte,OF,3.80%,0
87,1155809095,dbuckets85 (7/7),0,102,P Mike Clevinger OF Nicholas Castellanos 3B Jeimer Candelario 2B Niko Goodrum 1B Victor Martinez SS José Iglesias OF Jay Bruce OF Blake Swihart C Jonathan Lucroy P Mike Foltynewicz,,Amed Rosario,SS,3.80%,10
88,1155829497,HypeBigelow,0,101,P Wade Miley P Gio Gonzalez OF David Peralta OF Ronald Acuña Jr. C Wilson Ramos 3B Todd Frazier 2B Jose Altuve 1B Tyler White OF Ender Inciarte SS Marwin González,,José Iglesias,SS,3.80%,3
89,1155687018,Glaze,0,100.75,P CC Sabathia P Ryan Borucki OF David Dahl OF Tyler O'Neill 2B Robinson Canó C Yadier Molina 3B Todd Frazier SS Amed Rosario 1B Justin Smoak OF Randal Grichuk,,Drew Hutchison,P,3.80%,-5.6
90,1155721693,CowboyDrew21,0,100.5,P Dallas Keuchel P Gio Gonzalez OF Charlie Blackmon 2B Jose Altuve OF Shin-soo Choo SS Trea Turner OF Ryan Braun 1B Carlos Santana 3B Travis Shaw C Blake Swihart,,Aaron Hicks,OF,3.38%,0
91,1155808651,dbuckets85 (5/7),0,100,P Alex Cobb 3B Justin Turner SS Manny Machado 1B Ian Desmond OF Cody Bellinger 2B Brian Dozier OF Ender Inciarte OF Trey Mancini C Tyler Flowers P Mike Foltynewicz,,Stephen Piscotty,OF,3.38%,17
92,1155810606,ryan_151524,0,99.2,P Mike Clevinger P Miles Mikolas C Yadier Molina OF Joey Gallo OF Ryan Braun OF Whit Merrifield 3B José Bautista 1B Yuli Gurriel 2B Neil Walker SS Freddy Galvis,,Josh Reddick,OF,3.38%,5
93,1155676710,andrealking2 (7/7),0,99.05,P Gio Gonzalez OF A.J. Pollock OF Carlos González 1B Brandon Belt SS Ketel Marte 2B Joe Panik OF Austin Slater 3B Evan Longoria C Buster Posey P Mike Foltynewicz,,Yonder Alonso,1B,3.38%,30
94,1155686088,jstraight419 (1/7),0,99,P Gio Gonzalez P Brad Keller 1B Matt Carpenter SS Paul DeJong 3B Justin Turner OF Tyler O'Neill OF Brett Gardner C Yadier Molina OF Matt Kemp 2B Gleyber Torres,,Mike Moustakas,3B,3.38%,18
94,1155686091,jstraight419 (2/7),0,99,P Gio Gonzalez P Brad Keller 1B Matt Carpenter SS Paul DeJong 3B Justin Turner OF Tyler O'Neill OF Brett Gardner C Yadier Molina OF Matt Kemp 2B Gleyber Torres,,Odúbel Herrera,OF,3.38%,3
96,1155737251,house4411,0,98.95,P Zack Godley P Alex Cobb 3B José Ramírez OF Khris Davis OF Rhys Hoskins 1B Ian Desmond OF Mitch Haniger SS Dansby Swanson 2B Willy Adames C Robinson Chirinos,,Jeff McNeil,2B,3.38%,12
96,1155761418,kimohughes,0,98.95,P Mike Clevinger P Zack Godley OF Christian Yelich OF Andrew Benintendi 3B David Freese OF Brian Anderson 2B Adam Frazier 1B Victor Martinez SS José Iglesias C Erik Kratz,,David Dahl,OF,3.38%,6
98,1155676707,andrealking2 (4/7),0,98.85,P Rich Hill P Jake Odorizzi 1B Paul Goldschmidt OF A.J. Pollock OF Steven Souza Jr. 2B Joe Panik OF Austin Slater 3B Evan Longoria C Buster Posey SS Brandon Crawford,,Dallas Keuchel,P,3.38%,23.55
99,1155772469,Emac (2/7),0,98.65,P Rich Hill P Gio Gonzalez OF Bryce Harper 1B Ryan Zimmerman 3B Anthony Rendon OF Juan Soto SS Trea Turner 2B Neil Walker OF Alex Gordon C Erik Kratz,,Logan Forsythe,2B,3.38%,2
100,1155737056,thor9,0,98.35,P Clayton Richard P Jason Vargas 1B Paul Goldschmidt OF J.D. Martinez OF Mookie Betts OF Ronald Acuña Jr. SS Francisco Lindor C J.T. Realmuto 2B Jose Altuve 3B Hunter Dozier,,Joey Gallo,OF,3.38%,21
