Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
56,1159369064,nyo420 (5/10),0,135.2,P German Márquez OF Giancarlo Stanton SS Manny Machado OF Charlie Blackmon 3B Miguel Andújar 2B Gleyber Torres 1B Paul Goldschmidt OF Mitch Haniger C Jonathan Lucroy P T.J. McFarland,,Josh Bell,1B,6.32%,9
57,1159411649,metacognition (3/8),0,134.6,P German Márquez P Robbie Ray OF Giancarlo Stanton OF Gregory Polanco OF Starling Marte 2B Adam Frazier 1B Luke Voit C Kyle Higashioka 3B Colin Moran SS Jordy Mercer,,Brock Holt,SS,6.32%,4
58,1159391285,tvand2514 (1/7),0,134.55,P Justin Verlander P John Gant OF Khris Davis 3B Matt Chapman 2B Jed Lowrie OF Nicholas Castellanos SS Marcus Semien OF Niko Goodrum C Jonathan Lucroy 1B Victor Martinez,,Andrew Benintendi,OF,6.11%,7
59,1159209076,catstackkks,0,134.5,P John Gant P Francisco Liriano OF J.D. Martinez OF Giancarlo Stanton SS Manny Machado OF Ronald Acuña Jr. 3B Miguel Andújar 2B Brian Dozier 1B Luke Voit C Yadier Molina,,Eric Lauer,P,6.11%,13.45
60,1159157341,mikeandretti (8/10),0,134.1,P German Márquez P Andrew Heaney SS Manny Machado 1B Paul Goldschmidt OF David Peralta 2B Brian Dozier OF A.J. Pollock 3B Eduardo Escobar C Yadier Molina OF Steven Souza Jr.,,Jed Lowrie,2B,6.11%,5
61,1159126701,mirandatx (5/10),0,133.65,P Rich Hill P German Márquez 3B Matt Carpenter OF George Springer OF Starling Marte OF Daniel Palka 1B Luke Voit SS Marcus Semien 2B Niko Goodrum C Sandy Leon,,DJ LeMahieu,2B,5.89%,0
62,1159098714,BigShotRobTX (1/10),0,133.6,P Justin Verlander P German Márquez OF Giancarlo Stanton 3B Miguel Andújar 1B Luke Voit OF Matt Adams OF Mark Canha C Mike Zunino 2B Ronny Rodriguez SS Greg Garcia,,Mike Foltynewicz,P,5.68%,10.1
63,1159123951,rummie9 (1/4),0,133.2,P Joe Musgrove P Frankie Montas OF J.D. Martinez OF Mookie Betts OF Giancarlo Stanton SS Xander Bogaerts 2B Gleyber Torres 1B Luke Voit 3B Eduardo Núñez C Sandy Leon,,Kiké Hernández,SS,5.68%,3
64,1159291550,westvols (6/10),0,132.9,P Robbie Ray P Frankie Montas SS Alex Bregman OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres OF Jackie Bradley Jr. 1B Luke Voit C Sandy Leon,,Willson Contreras,C,5.68%,9
65,1159301725,galexander21 (3/10),0,132.8,P Justin Verlander P Robbie Ray OF Ronald Acuña Jr. 3B Miguel Andújar OF Nick Markakis SS Johan Camargo OF Adam Duvall 1B Victor Martinez 2B Ronny Rodriguez C James McCann,,Carlos Correa,SS,5.68%,0
66,1159018993,Emac (4/10),0,132.65,P Rich Hill P German Márquez OF Mookie Betts OF Andrew Benintendi SS Xander Bogaerts 2B Ian Kinsler 3B Eduardo Núñez C Austin Barnes 1B Victor Martinez OF Shane Robinson,,Kyle Higashioka,C,5.26%,2
66,1159370744,Redman910 (1/8),0,132.65,P German Márquez P Eric Lauer OF J.D. Martinez OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar 1B Luke Voit 2B Eduardo Núñez C Jonathan Lucroy,,Justin Turner,3B,5.26%,5
66,1159370748,Redman910 (2/8),0,132.65,P German Márquez P Eric Lauer OF J.D. Martinez OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar 1B Luke Voit 2B Eduardo Núñez C Jonathan Lucroy,,Colin Moran,3B,5.26%,0
