Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
79,1141376293,abragmania (8/10),0,107.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Francisco Lindor 2B Gleyber Torres C Yan Gomes OF Rajai Davis 1B Logan Morrison OF JaCoby Jones OF Marwin González,,Ryon Healy,1B,1.26%,0
79,1141376294,abragmania (9/10),0,107.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Francisco Lindor 2B Gleyber Torres C Yan Gomes OF Rajai Davis 1B Logan Morrison OF JaCoby Jones OF Marwin González,,Renato Núñez,OF,1.05%,19
79,1141376295,abragmania (10/10),0,107.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Francisco Lindor 2B Gleyber Torres C Yan Gomes OF Rajai Davis 1B Logan Morrison OF JaCoby Jones OF Marwin González,,Tony Kemp,OF,1.05%,3
79,1141447081,aanderson61 (2/10),0,107.3,P Sonny Gray P Sean Manaea SS Didi Gregorius OF Giancarlo Stanton OF Nelson Cruz 3B Matt Chapman 2B Gleyber Torres 1B Joe Mauer OF Mason Williams C Curt Casali,,Trey Mancini,OF,1.05%,24
91,1141488147,metacognition (2/3),0,106.4,P Carlos Carrasco P Alex Cobb OF Khris Davis 2B Scooter Gennett OF Nelson Cruz 3B Eugenio Suárez 1B Joey Votto SS José Peraza OF Stephen Piscotty C Curt Casali,,Ehire Adrianza,SS,0.84%,0
92,1141463982,Karackta (1/10),0,106.1,P Carlos Carrasco P Sonny Gray C Evan Gattis OF Nicholas Castellanos 2B Niko Goodrum 3B J.D. Davis OF Tony Kemp OF JaCoby Jones 1B Victor Martinez SS Marwin González,,Jason Kipnis,2B,0.84%,0
93,1141291691,cptnspaulding (1/10),0,105.4,P Carlos Carrasco P Sean Manaea 1B Edwin Encarnacion 3B Eugenio Suárez SS José Peraza OF Brandon Guyer 2B Erik González OF Preston Tucker OF Mason Williams C Curt Casali,,Kendrys Morales,1B,0.84%,3
93,1141500128,mattwilliams1313,0,105.4,P Carlos Carrasco P Sean Manaea 3B Eugenio Suárez OF Dee Gordon OF Mitch Haniger OF Teoscar Hernández 2B Jason Kipnis 1B Joe Mauer SS Aledmys Díaz C Max Stassi,,Tucker Barnhart,C,0.84%,0
95,1141436617,Emac (4/10),0,105.3,P Carlos Carrasco P Sal Romano 3B José Ramírez SS Francisco Lindor 1B Edwin Encarnacion OF Brandon Guyer OF Nick Martini 2B Yangervis Solarte C Max Stassi OF Shane Robinson,,José Iglesias,SS,0.84%,16
96,1141486857,sinslappa-pick6 (4/10),0,104.65,P Dallas Keuchel P Sean Manaea OF Khris Davis OF Giancarlo Stanton 1B Joey Votto 2B Gleyber Torres SS José Peraza OF Brandon Guyer 3B Tim Beckham C Curt Casali,,Breyvic Valera,2B,0.63%,5
