Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Hunter Greene (10861925),Hunter Greene,10861925,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,0
SP,Vladimir Gutierrez (10861927),Vladimir Gutierrez,10861927,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,0
RP,Adrian Houser (10861932),Adrian Houser,10861932,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,5.09
RP,Robert Stephenson (10861934),Robert Stephenson,10861934,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,0
SP,Daniel Wright (10861938),Daniel Wright,10861938,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,0
SP,Nick Howard (10861939),Nick Howard,10861939,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,0
RP,Taylor Williams (10861941),Taylor Williams,10861941,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,4.03
RP,Corey Knebel (10861943),Corey Knebel,10861943,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,3.81
RP,Josh Hader (10861945),Josh Hader,10861945,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,8.48
SP,Phil Bickford (10861946),Phil Bickford,10861946,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,0
RP,Kyle Crockett (10861948),Kyle Crockett,10861948,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,3.35
OF,Adam Eaton (10861570),Adam Eaton,10861570,OF,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,6.91
2B,Daniel Murphy (10861571),Daniel Murphy,10861571,2B,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,3.62
RP,Brandon Kintzler (10861839),Brandon Kintzler,10861839,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,1.77
RP,Ryan Madson (10861841),Ryan Madson,10861841,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,2.55
RP,Joaquin Benoit (10861842),Joaquin Benoit,10861842,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,0
RP,Justin Miller (10861843),Justin Miller,10861843,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,7.48
SP,Tommy Milone (10861844),Tommy Milone,10861844,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,0
RP,Aaron Barrett (10861846),Aaron Barrett,10861846,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,0
RP,Tim Collins (10861847),Tim Collins,10861847,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,1.63
RP,Shawn Kelley (10861848),Shawn Kelley,10861848,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,2.5
RP,Sammy Solis (10861849),Sammy Solis,10861849,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,1.89
RP,Sean Doolittle (10861851),Sean Doolittle,10861851,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,4.62
RP,Kelvin Herrera (10861853),Kelvin Herrera,10861853,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,3.20
RP,Hector Neris (10861855),Hector Neris,10861855,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,2.69
RP,Matt Grace (10861856),Matt Grace,10861856,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,2.99
RP,Koda Glover (10861857),Koda Glover,10861857,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,0
SP,Seth Romero (10861859),Seth Romero,10861859,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,0
RP,Austin Voth (10861860),Austin Voth,10861860,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,0
SP,Wil Crowe (10861863),Wil Crowe,10861863,P,4000,WAS@PHI 06/28/2018 07:05PM ET,WAS,0
RP,Pedro Beato (10861869),Pedro Beato,10861869,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,0
RP,Pat Neshek (10861874),Pat Neshek,10861874,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,0
RP,Luis Garcia (10861879),Luis Garcia,10861879,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,2.03
RP,Tommy Hunter (10861884),Tommy Hunter,10861884,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,2.19
RP,Adam Morgan (10861894),Adam Morgan,10861894,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,1.28
RP,Edubray Ramos (10861898),Edubray Ramos,10861898,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,3.30
RP,Zac Curtis (10861907),Zac Curtis,10861907,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,3.29
RP,Austin Davis (10861908),Austin Davis,10861908,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,2.82
SP,Franklyn Kilome (10861915),Franklyn Kilome,10861915,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,0
SP,Adonis Medina (10861917),Adonis Medina,10861917,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,0
SP,JoJo Romero (10861921),JoJo Romero,10861921,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,0
SP,Kevin Gowdy (10861923),Kevin Gowdy,10861923,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,0
RP,Yacksel Rios (10861931),Yacksel Rios,10861931,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,2.67
RP,Seranthony Dominguez (10861935),Seranthony Dominguez,10861935,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,5.06
RP,Victor Arano (10861940),Victor Arano,10861940,P,4000,WAS@PHI 06/28/2018 07:05PM ET,PHI,3.34
1B,Jake Bauers (10861575),Jake Bauers,10861575,1B,3900,HOU@TB 06/28/2018 07:10PM ET,TB,8.63
2B,Ian Kinsler (10861581),Ian Kinsler,10861581,2B,3800,LAA@BOS 06/28/2018 07:10PM ET,LAA,7.04
SS,Jose Peraza (10861577),Jose Peraza,10861577,SS,3800,MIL@CIN 06/28/2018 07:10PM ET,CIN,7.05
1B/OF,Matt Adams (10861578),Matt Adams,10861578,1B/OF,3800,WAS@PHI 06/28/2018 07:05PM ET,WAS,6.79
2B,Dustin Pedroia (10861580),Dustin Pedroia,10861580,2B,3700,LAA@BOS 06/28/2018 07:10PM ET,BOS,3
SS,Andrelton Simmons (10861583),Andrelton Simmons,10861583,SS,3700,LAA@BOS 06/28/2018 07:10PM ET,LAA,7.6
3B,Matt Duffy (10861585),Matt Duffy,10861585,3B,3700,HOU@TB 06/28/2018 07:10PM ET,TB,7.19
1B/OF,J.D. Davis (10861588),J.D. Davis,10861588,1B/OF,3700,HOU@TB 06/28/2018 07:10PM ET,HOU,4.24
OF,Billy Hamilton (10861582),Billy Hamilton,10861582,OF,3700,MIL@CIN 06/28/2018 07:10PM ET,CIN,5.99
C,Tucker Barnhart (10861590),Tucker Barnhart,10861590,C,3700,MIL@CIN 06/28/2018 07:10PM ET,CIN,6.34
3B/SS,David Fletcher (10861594),David Fletcher,10861594,3B/SS,3600,LAA@BOS 06/28/2018 07:10PM ET,LAA,3.73
2B/SS,Brock Holt (10861615),Brock Holt,10861615,2B/SS,3600,LAA@BOS 06/28/2018 07:10PM ET,BOS,5.92
OF,Derek Fisher (10861587),Derek Fisher,10861587,OF,3600,HOU@TB 06/28/2018 07:10PM ET,HOU,4.14
C,Max Stassi (10861592),Max Stassi,10861592,C,3600,HOU@TB 06/28/2018 07:10PM ET,HOU,6.28
OF,Josh Reddick (10861593),Josh Reddick,10861593,OF,3600,HOU@TB 06/28/2018 07:10PM ET,HOU,6.39
OF,Phillip Ervin (10861591),Phillip Ervin,10861591,OF,3600,MIL@CIN 06/28/2018 07:10PM ET,CIN,3.10
OF,Victor Robles (10861584),Victor Robles,10861584,OF,3600,WAS@PHI 06/28/2018 07:05PM ET,WAS,0
1B,Mark Reynolds (10861586),Mark Reynolds,10861586,1B,3600,WAS@PHI 06/28/2018 07:05PM ET,WAS,5.74
1B/3B,Jefry Marte (10861601),Jefry Marte,10861601,1B/3B,3500,LAA@BOS 06/28/2018 07:10PM ET,LAA,3.95
1B,Tyler White (10861606),Tyler White,10861606,1B,3500,HOU@TB 06/28/2018 07:10PM ET,HOU,2
C,Wilson Ramos (10861607),Wilson Ramos,10861607,C,3500,HOU@TB 06/28/2018 07:10PM ET,TB,7.2
OF,Adam Duvall (10861598),Adam Duvall,10861598,OF,3500,MIL@CIN 06/28/2018 07:10PM ET,CIN,5.92
OF,Jesse Winker (10861600),Jesse Winker,10861600,OF,3500,MIL@CIN 06/28/2018 07:10PM ET,CIN,6.01
2B/OF,Hernan Perez (10861613),Hernan Perez,10861613,2B/OF,3500,MIL@CIN 06/28/2018 07:10PM ET,MIL,4.21
OF,Michael A. Taylor (10861596),Michael A. Taylor,10861596,OF,3500,WAS@PHI 06/28/2018 07:05PM ET,WAS,6.92
1B,Ryan Zimmerman (10861597),Ryan Zimmerman,10861597,1B,3500,WAS@PHI 06/28/2018 07:05PM ET,WAS,6.06
OF,Dylan Cozens (10861599),Dylan Cozens,10861599,OF,3500,WAS@PHI 06/28/2018 07:05PM ET,PHI,3.83
3B,Maikel Franco (10861603),Maikel Franco,10861603,3B,3500,WAS@PHI 06/28/2018 07:05PM ET,PHI,6.19
3B/SS,J.P. Crawford (10861604),J.P. Crawford,10861604,3B/SS,3500,WAS@PHI 06/28/2018 07:05PM ET,PHI,4.97
OF,Jackie Bradley Jr. (10861617),Jackie Bradley Jr.,10861617,OF,3400,LAA@BOS 06/28/2018 07:10PM ET,BOS,5.69
1B/3B,Luis Valbuena (10861629),Luis Valbuena,10861629,1B/3B,3400,LAA@BOS 06/28/2018 07:10PM ET,LAA,4.80
