"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Yulieski Gurriel","Astros","TB @ HOU","1B","4.18","1.14",".73",".31",".01",".09",".48",".64",".02",".01",".23",".57","6.28","9.84","7.55","19198"
"Tucker Barnhart","Reds","DET @ CIN","C","4.46","1.02",".68",".22",".01",".11",".63",".40",".03",".02",".48",".77","6.35","9.86","7.52","10200"
"Jed Lowrie","Athletics","OAK @ SD","2B","4.55","1.05",".68",".26",".02",".10",".53",".43",".01",".01",".56",".90","6.34","9.84","7.52","4418"
"Josh Harrison","Pirates","MIL @ PIT","2B","4.70","1.07",".76",".22",".03",".07",".53",".37",".09",".05",".51","1.05","6.30","9.74","7.56","8202"
"Mac Williamson","Giants","MIA @ SF","LF","4.13",".94",".57",".19",".02",".16",".46",".59",".03",".02",".39","1.04","6.30","9.84","7.45","14158"
"Jason Heyward","Cubs","LAD @ CHC","RF","4.51","1.03",".68",".21",".05",".10",".55",".43",".05",".03",".42",".73","6.28","9.75","7.52","4940"
"Robinson Chirinos","Rangers","TEX @ KC","C","4.24",".84",".47",".19",".01",".17",".52",".53",".02",".01",".52","1.29","6.33","9.86","7.37","3142"
"Francisco Cervelli","Pirates","MIL @ PIT","C","4.26",".82",".56",".14",".02",".09",".50",".50",".03",".02",".82","1.09","6.34","9.86","7.31","5275"
"Pablo Sandoval","Giants","MIA @ SF","DH","4.25",".97",".63",".21",".01",".12",".47",".65",".02",".02",".37",".76","6.22","9.74","7.35","5409"
"Ben Zobrist","Cubs","LAD @ CHC","RF","4.40",".96",".62",".21",".03",".10",".51",".48",".03",".02",".56",".73","6.25","9.72","7.36","7435"
"Jonathan Villar","Brewers","MIL @ PIT","2B","4.26","1.02",".73",".18",".03",".07",".42",".48",".19",".08",".34","1.14","6.18","9.59","7.48","10071"
"Randal Grichuk","Blue Jays","ATL @ TOR","RF","3.90",".86",".40",".24",".03",".20",".47",".58",".03",".02",".24","1.11","6.21","9.70","7.33","10243"
"Colin Moran","Pirates","MIL @ PIT","3B","4.36",".93",".66",".17",".02",".08",".50",".50",".03",".02",".67","1.00","6.22","9.68","7.28","16909"
"Daniel Descalso","Diamondbacks","ARI @ LAA","2B","4.39",".85",".52",".17",".02",".15",".47",".52",".03",".02",".56","1.09","6.19","9.64","7.23","8392"
"Travis Jankowski","Padres","OAK @ SD","RF","4.52","1.03",".80",".14",".05",".04",".50",".25",".20",".10",".54",".84","6.13","9.42","7.44","13768"
"Enrique Hernandez","Dodgers","","SS","4.73",".83",".50",".20",".03",".11",".56",".44",".03",".02",".62","1.03","6.21","9.64","7.21","10472"
"Starlin Castro","Marlins","MIA @ SF","2B","4.37","1.19",".86",".23",".02",".08",".47",".56",".02",".01",".25",".75","6.06","9.46","7.38","4579"
"Ben Zobrist","Cubs","","RF","4.43",".92",".62",".19",".03",".09",".50",".47",".02",".01",".61",".74","6.11","9.51","7.18","7435"
"Yoan Moncada","White Sox","CWS @ CLE","2B","4.60",".87",".53",".20",".03",".12",".47",".38",".11",".07",".49","1.68","6.10","9.44","7.23","17232"
