,Park ID,AB,H,2H,3H,HR,RBI,Hits Per AB,Doubles Per AB,Triples Per AB,HR Per AB,Runs Per AB,Hits Factor,Double Factor,Triple Factor,HR Factor,RBI Factor
43,DET05,100437.0,27175.0,4973.0,868.0,2968.0,13146.0,0.27056761950277286,0.04951362545675399,0.008642233439867779,0.029550862729870467,0.13088801935541683,1.035849923291537,0.997804697773898,1.431544276381022,1.0257746094829454,1.0341212547906262
44,SJU01,3248.0,838.0,149.0,8.0,108.0,400.0,0.2580049261083744,0.0458743842364532,0.0024630541871921183,0.0332512315270936,0.12315270935960591,0.9877544970434253,0.9244662590623128,0.4079930435372656,1.154222445088017,0.9730060471615684
45,MIL06,94166.0,24082.0,4956.0,501.0,3272.0,12028.0,0.25573986364505236,0.05263046110060956,0.0053203916487904335,0.03474714865237984,0.12773187774780706,0.9790828578310375,1.060615554764052,0.8812972093297055,1.2061489766088134,1.0091851824470177
46,PIT08,93869.0,24532.0,5033.0,480.0,2329.0,11282.0,0.2613429353673737,0.053617275138757206,0.0051135092522558035,0.024811173017716178,0.12018877371656245,1.0005338408586057,1.0805019531848858,0.8470281384114279,0.8612496882311215,0.9495885574524467
47,CIN09,83119.0,21435.0,4324.0,324.0,3150.0,10857.0,0.25788327578531983,0.052021800069779474,0.003898025722157389,0.03789747229875239,0.13061995452303324,0.9872887669681265,1.0483497424687152,0.6456891555368336,1.3155035507084798,1.0320033257227488
48,SAN02,76248.0,18230.0,3426.0,482.0,1904.0,8214.0,0.23908823838002308,0.04493232609379918,0.006321477284650089,0.024971146784177944,0.10772741580107019,0.9153332310828035,0.9054817869772028,1.0471222153485282,0.866802725017894,0.8511337473985834
49,PHI13,78240.0,20171.0,4018.0,422.0,2710.0,9949.0,0.25780930470347646,0.05135480572597137,0.005393660531697341,0.034637014314928424,0.12716002044989774,0.9870055736592078,1.0349083900429745,0.893433846310414,1.2023259746199173,1.0046670471021062
50,WAS10,16456.0,4184.0,884.0,90.0,402.0,1974.0,0.2542537676227516,0.05371900826446281,0.005469129800680603,0.02442877977637336,0.11995624696159456,0.9733934392171878,1.0825520917035636,0.9059349666292954,0.847975988529256,0.9477514079501166
51,STL10,66056.0,17131.0,3348.0,312.0,1674.0,7810.0,0.2593405595252513,0.0506842678939082,0.004723265108392879,0.0253421339469541,0.11823301441201405,0.9928678796978616,1.0213956288041086,0.7823860786446728,0.8796804949665605,0.9341364765358878
52,LBV01,417.0,115.0,16.0,5.0,13.0,61.0,0.27577937649880097,0.03836930455635491,0.011990407673860911,0.03117505995203837,0.14628297362110312,1.0558027842231996,0.7732229660719789,1.986153185565106,1.0821540217025585,1.1557538495924893
53,WAS11,55085.0,14106.0,2753.0,235.0,1566.0,6556.0,0.2560769719524371,0.04997730779704094,0.004266134156303894,0.02842879186711446,0.11901606607969502,0.9803734542999984,1.0071488815848213,0.7066645417788965,0.986825093471276,0.9403232182799833
54,NYC20,49518.0,12095.0,2366.0,240.0,1340.0,5557.0,0.24425461448362212,0.047780605032513426,0.004846722403974313,0.027060866755523244,0.11222181832868856,0.9351123543217299,0.9628806560642948,0.8028361840597593,0.9393414426563699,0.8866431638011208
55,NYC21,49585.0,12620.0,2314.0,152.0,1945.0,6476.0,0.25451245336291217,0.04666733891297772,0.0030654431783805587,0.03922557224967228,0.13060401331047697,0.9743838001650144,0.940445979675763,0.5077758738080415,1.3616047837236536,1.0318773772454721
56,MIN04,44986.0,12074.0,2408.0,272.0,1298.0,5751.0,0.26839461165695994,0.053527764193304586,0.006046325523496199,0.028853421064331124,0.12783977237362734,1.0275307089874242,1.0786981175527564,1.0015446535345955,1.0015648949089409,1.0100376372888582
57,MIA02,32509.0,8174.0,1509.0,241.0,704.0,3672.0,0.25143806330554613,0.0464179150389123,0.0074133316927620044,0.02165554154234212,0.11295333599926174,0.9626137047229091,0.9354195589484663,1.2279826305929833,0.7517108678618624,0.8924227452717557
58,SYD01,135.0,31.0,6.0,0.0,2.0,15.0,0.22962962962962963,0.044444444444444446,0.0,0.014814814814814815,0.1111111111111111,0.8791215840034333,0.8956499357000425,0.0,0.5142543898005321,0.8778676781057705
59,FTB01,69.0,18.0,2.0,2.0,1.0,7.0,0.2608695652173913,0.028985507246376812,0.028985507246376812,0.014492753623188406,0.10144927536231885,0.9987215750950644,0.5841195232826364,4.801309439887821,0.5030749465439988,0.8015313582704862
60,ATL03,5591.0,1479.0,316.0,26.0,174.0,737.0,0.26453228402790196,0.05651940618851726,0.004650330888928635,0.031121445179753175,0.13181899481309248,1.0127440475767246,1.1389860566673764,0.7703048770487168,1.0802929365421658,1.0414767141612549
61,WIL02,70.0,20.0,4.0,0.0,2.0,9.0,0.2857142857142857,0.05714285714285714,0.0,0.02857142857142857,0.12857142857142856,1.0938379155803086,1.1515499173286259,0.0,0.9917763231867404,1.0158183132366772
