,Name,ID,Position,Link,Start Year,End Year
14454,Nolan Reimold,3441,OF,statss.aspx?playerid=3441&position=OF,2009,2016
14477,Desi Relaford,1096,SS,statss.aspx?playerid=1096&position=SS,1996,2007
14484,Tony Renda,13443,2B/OF,statss.aspx?playerid=13443&position=2B/OF,2016,2018
14497,Edgar Renteria,1178,SS,statss.aspx?playerid=1178&position=SS,1996,2011
14499,Jason Repko,2628,OF,statss.aspx?playerid=2628&position=OF,2005,2012
14507,Mike Restovich,751,OF,statss.aspx?playerid=751&position=OF,2002,2007
14517,Ben Revere,4712,OF,statss.aspx?playerid=4712&position=OF,2010,2017
14531,Argenis Reyes,3285,2B,statss.aspx?playerid=3285&position=2B,2008,2009
14534,Jose Reyes,2797,C,statss.aspx?playerid=2797&position=C,2006,2006
14535,Rene Reyes,1774,OF,statss.aspx?playerid=1774&position=OF,2003,2004
14574,Will Rhymes,9802,2B,statss.aspx?playerid=9802&position=2B,2010,2012
14589,Danny Richar,3767,2B,statss.aspx?playerid=3767&position=2B,2007,2009
14590,Chris Richard,163,1B/OF,statss.aspx?playerid=163&position=1B/OF,2000,2009
14601,Antoan Richardson,209,OF,statss.aspx?playerid=209&position=OF,2011,2014
14615,Kevin Richardson,4852,C,statss.aspx?playerid=4852&position=C,2009,2009
14659,Shawn Riggans,3393,C,statss.aspx?playerid=3393&position=C,2006,2009
14662,Adam Riggs,492,2B/OF,statss.aspx?playerid=492&position=2B/OF,1997,2004
14687,Alex Rios,2090,OF,statss.aspx?playerid=2090&position=OF,2004,2015
14689,Armando Rios,1006,OF,statss.aspx?playerid=1006&position=OF,1998,2003
14714,Luis Rivas,753,2B,statss.aspx?playerid=753&position=2B,2000,2008
14715,Ruben Rivera,1550,OF,statss.aspx?playerid=1550&position=OF,1995,2003
14724,Juan Rivera,843,OF,statss.aspx?playerid=843&position=OF,2001,2012
14727,T.J. Rivera,12495,2B/3B,statss.aspx?playerid=12495&position=2B/3B,2016,2017
14728,Carlos Rivera,1749,1B,statss.aspx?playerid=1749&position=1B,2003,2004
14730,Mike Rivera,493,C,statss.aspx?playerid=493&position=C,2001,2011
14731,Carlos Rivero,1136,3B/DH,statss.aspx?playerid=1136&position=3B/DH,2014,2014
14758,Chris Roberson,3577,OF,statss.aspx?playerid=3577&position=OF,2006,2007
14759,Ryan Roberts,5653,2B/3B,statss.aspx?playerid=5653&position=2B/3B,2006,2014
14773,Dave Roberts,670,OF,statss.aspx?playerid=670&position=OF,1999,2008
14774,Brian Roberts,166,2B,statss.aspx?playerid=166&position=2B,2001,2014
14796,Daniel Robertson,6266,OF,statss.aspx?playerid=6266&position=OF,2014,2017
14806,Chris Robinson,3443,C,statss.aspx?playerid=3443&position=C,2013,2013
14828,Trayvon Robinson,9875,OF,statss.aspx?playerid=9875&position=OF,2011,2012
14830,Kerry Robinson,1179,OF,statss.aspx?playerid=1179&position=OF,1998,2006
14831,Derrick Robinson,2784,OF,statss.aspx?playerid=2784&position=OF,2013,2013
14833,Clint Robinson,6908,1B/OF,statss.aspx?playerid=6908&position=1B/OF,2012,2016
14835,Oscar Robles,8975,3B/SS,statss.aspx?playerid=8975&position=3B/SS,2005,2007
14839,Victor Robles,18363,OF,statss.aspx?playerid=18363&position=OF,2017,2017
14865,John Rodriguez,2338,OF,statss.aspx?playerid=2338&position=OF,2005,2006
14866,Henry Rodriguez,7983,2B,statss.aspx?playerid=7983&position=2B,2012,2013
14868,Luis Rodriguez,2364,2B/3B/SS,statss.aspx?playerid=2364&position=2B/3B/SS,2005,2011
14869,Guilder Rodriguez,3412,2B/3B/DH,statss.aspx?playerid=3412&position=2B/3B/DH,2014,2014
14870,Josh Rodriguez,5716,SS,statss.aspx?playerid=5716&position=SS,2011,2011
14874,Guillermo Rodriguez,7011,C,statss.aspx?playerid=7011&position=C,2007,2009
14883,Henry Rodriguez,1427,OF,statss.aspx?playerid=1427&position=OF,1992,2002
14905,Yorman Rodriguez,9922,OF,statss.aspx?playerid=9922&position=OF,2014,2014
14906,Eddy Rodriguez,6870,C,statss.aspx?playerid=6870&position=C,2012,2012
14911,Alex Rodriguez,1274,3B/SS,statss.aspx?playerid=1274&position=3B/SS,1994,2016
14912,Ivan Rodriguez,1275,C,statss.aspx?playerid=1275&position=C,1991,2011
14927,Eddie Rogers,1621,SS,statss.aspx?playerid=1621&position=SS,2002,2006
14944,Jason Rogers,11773,1B,statss.aspx?playerid=11773&position=1B,2014,2016
14951,Ryan Rohlinger,2621,3B,statss.aspx?playerid=2621&position=3B,2008,2011
14964,Scott Rolen,970,3B,statss.aspx?playerid=970&position=3B,1996,2012
14970,Jimmy Rollins,971,SS,statss.aspx?playerid=971&position=SS,2000,2016
14973,Damian Rolls,1222,3B/OF,statss.aspx?playerid=1222&position=3B/OF,2000,2004
14974,Jamie Romak,5552,1B/OF,statss.aspx?playerid=5552&position=1B/OF,2014,2015
14983,Jason Romano,1278,OF,statss.aspx?playerid=1278&position=OF,2002,2005
14985,Mandy Romero,1804,C,statss.aspx?playerid=1804&position=C,1997,2003
14987,Alex Romero,3129,OF,statss.aspx?playerid=3129&position=OF,2008,2009
14991,Niuman Romero,5063,SS,statss.aspx?playerid=5063&position=SS,2009,2010
14992,Stefen Romero,11746,OF,statss.aspx?playerid=11746&position=OF,2014,2016
15026,Adam Rosales,9682,2B/3B/SS,statss.aspx?playerid=9682&position=2B/3B/SS,2008,2017
15030,Wilin Rosario,8002,C,statss.aspx?playerid=8002&position=C,2011,2015
15035,Alberto Rosario,7125,C,statss.aspx?playerid=7125&position=C,2016,2017
15047,Mike Rose,2278,C,statss.aspx?playerid=2278&position=C,2004,2006
15068,David Ross,1551,C,statss.aspx?playerid=1551&position=C,2002,2016
15081,Cody Ross,1760,OF,statss.aspx?playerid=1760&position=OF,2003,2015
15099,Vinny Rottino,5202,OF,statss.aspx?playerid=5202&position=OF,2006,2012
15101,Mike Rouse,1893,2B/3B,statss.aspx?playerid=1893&position=2B/3B,2006,2007
15106,Aaron Rowand,254,OF,statss.aspx?playerid=254&position=OF,2001,2011
15135,Wilkin Ruan,1622,OF,statss.aspx?playerid=1622&position=OF,2002,2003
15155,Darin Ruf,9929,1B/OF,statss.aspx?playerid=9929&position=1B/OF,2012,2016
15162,Justin Ruggiano,7620,OF,statss.aspx?playerid=7620&position=OF,2007,2017
15164,Carlos Ruiz,2579,C,statss.aspx?playerid=2579&position=C,2006,2017
15165,Rio Ruiz,14103,3B,statss.aspx?playerid=14103&position=3B,2016,2017
15168,Randy Ruiz,2761,DH,statss.aspx?playerid=2761&position=DH,2008,2010
15181,Cameron Rupp,11146,C,statss.aspx?playerid=11146&position=C,2013,2017
15185,Jim Rushford,1623,OF,statss.aspx?playerid=1623&position=OF,2002,2002
15206,Kevin Russo,3630,3B/OF,statss.aspx?playerid=3630&position=3B/OF,2010,2010
15214,Josh Rutledge,11167,2B/SS,statss.aspx?playerid=11167&position=2B/SS,2012,2017
15217,Rusty Ryal,9698,1B/OF,statss.aspx?playerid=9698&position=1B/OF,2009,2010
15218,Dusty Ryan,2312,C,statss.aspx?playerid=2312&position=C,2008,2009
15219,Michael Ryan,1643,OF,statss.aspx?playerid=1643&position=OF,2002,2010
15239,Brendan Ryan,6073,SS,statss.aspx?playerid=6073&position=SS,2007,2016
15254,Mark Saccomanno,5938,1B,statss.aspx?playerid=5938&position=1B,2008,2008
15261,Ray Sadler,2914,OF,statss.aspx?playerid=2914&position=OF,2005,2005
15262,Donnie Sadler,627,2B/OF,statss.aspx?playerid=627&position=2B/OF,1998,2007
15271,Olmedo Saenz,937,1B/3B,statss.aspx?playerid=937&position=1B/3B,1994,2007
15287,Jeff Salazar,4507,OF,statss.aspx?playerid=4507&position=OF,2006,2009
15291,Oscar Salazar,495,OF,statss.aspx?playerid=495&position=OF,2002,2010
15300,Tim Salmon,32,OF,statss.aspx?playerid=32&position=OF,1992,2006
15304,Angel Salome,7536,PH/PR,statss.aspx?playerid=7536&position=PH/PR,2008,2008
15305,Jarrod Saltalamacchia,5557,C,statss.aspx?playerid=5557&position=C,2007,2017
15314,Clint Sammons,8243,C,statss.aspx?playerid=8243&position=C,2007,2009
15330,Gaby Sanchez,3361,1B,statss.aspx?playerid=3361&position=1B,2008,2014
15331,Tony Sanchez,6178,C,statss.aspx?playerid=6178&position=C,2013,2017
15332,Hector Sanchez,10289,C,statss.aspx?playerid=10289&position=C,2011,2017
15337,Freddy Sanchez,1624,2B,statss.aspx?playerid=1624&position=2B,2002,2011
15339,Angel Sanchez,3492,SS,statss.aspx?playerid=3492&position=SS,2006,2013
15341,Alex Sanchez,708,OF,statss.aspx?playerid=708&position=OF,2001,2005
