,Name,ID,Position,Link,Start Year,End Year
8615,Tyler Johnson,3404,P,statss.aspx?playerid=3404&position=P,2005,2007
8653,Kris Johnson,886,P,statss.aspx?playerid=886&position=P,2013,2014
8678,Jason Johnson,147,P,statss.aspx?playerid=147&position=P,1997,2008
8681,Alan Johnson,917,P,statss.aspx?playerid=917&position=P,2011,2011
8715,Steve Johnson,4053,P,statss.aspx?playerid=4053&position=P,2012,2016
8716,Josh Johnson,4567,P,statss.aspx?playerid=4567&position=P,2005,2013
8717,Adam Johnson,733,P,statss.aspx?playerid=733&position=P,2001,2003
8718,Erik Johnson,12520,P,statss.aspx?playerid=12520&position=P,2013,2016
8721,Mike Johnston,1868,P,statss.aspx?playerid=1868&position=P,2004,2005
8734,Eric Jokisch,11157,P,statss.aspx?playerid=11157&position=P,2014,2014
8747,Bobby Jones,1039,P,statss.aspx?playerid=1039&position=P,1993,2002
8749,Hunter Jones,4656,P,statss.aspx?playerid=4656&position=P,2009,2010
8756,Bobby Jones,1454,P,statss.aspx?playerid=1454&position=P,1997,2004
8757,Todd Jones,436,P,statss.aspx?playerid=436&position=P,1993,2008
8825,Greg Jones,1782,P,statss.aspx?playerid=1782&position=P,2003,2007
8856,Taylor Jordan,10466,P,statss.aspx?playerid=10466&position=P,2013,2015
8857,Felix Jorge,14532,P,statss.aspx?playerid=14532&position=P,2017,2017
8867,Donnie Joseph,6491,P,statss.aspx?playerid=6491&position=P,2013,2014
8870,Kevin Joseph,1160,P,statss.aspx?playerid=1160&position=P,2002,2002
8876,Jimmy Journell,1161,P,statss.aspx?playerid=1161&position=P,2003,2005
8895,Josh Judy,1975,P,statss.aspx?playerid=1975&position=P,2011,2011
8897,Jorge Julio,148,P,statss.aspx?playerid=148&position=P,2001,2009
8899,Eric Junge,1611,P,statss.aspx?playerid=1611&position=P,2002,2003
8901,Taylor Jungmann,13119,P,statss.aspx?playerid=13119&position=P,2015,2017
8908,Jair Jurrjens,5556,P,statss.aspx?playerid=5556&position=P,2007,2014
8965,Nathan Karns,12638,P,statss.aspx?playerid=12638&position=P,2013,2017
