,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
200,Hunter Dozier,Royals,1B/3B,3300,6.99,7.14,7.01,27.340622837370248
201,Freddy Galvis,Padres,SS,3300,5.21,4.97,5.29,40.56101021519649
202,Ketel Marte,Diamondbacks,2B/SS,3300,5.42,5.31,5.1,36.60219556360342
203,Yasiel Puig,Dodgers,OF,3300,7.26,5.58,6.87,58.37891895442277
204,Kyle Seager,Mariners,3B,3300,7.59,6.52,7.38,54.99423916224275
205,Aledmys Diaz,Blue Jays,SS,3300,7.0,6.89,5.88,49.99149669769019
206,Omar Narvaez,White Sox,C,3200,5.79,5.84,4.82,25.814797738358184
207,Adam Engel,White Sox,OF,3200,5.86,5.03,4.69,36.49735607041985
208,Brandon Lowe,Rays,2B/OF,3200,7.2,5.96,6.89,35.0
209,Kaleb Cowart,Angels,3B,3200,5.51,5.24,5.2,24.21644842399459
210,Chad Pinder,Athletics,2B/OF,3200,6.46,5.13,5.11,52.33105722899335
211,Magneuris Sierra,Marlins,OF,3200,5.05,4.56,4.71,35.0
212,Austin Wynns,Orioles,C,3100,6.04,6.47,5.95,35.0
213,Mike Zunino,Mariners,C,3000,7.02,7.16,6.59,48.74725976975485
214,Christian Vazquez,Red Sox,C,2900,6.47,6.43,5.82,38.24305224602064
215,Logan Forsythe,Twins,2B,2900,8.28,8.0,8.02,41.76806207239277
216,Mark Canha,Athletics,OF,2900,6.61,6.21,5.26,48.11333333333339
217,Spencer Kieboom,Nationals,C,2800,5.42,5.16,4.86,35.0
218,Rosell Herrera,Royals,OF,2800,6.37,6.25,6.46,22.948974609375
219,Brandon Guyer,Indians,OF,2700,6.53,5.87,5.69,35.91404361784375
220,Brian McCann,Astros,C,2700,7.34,6.49,6.31,55.38949151912728
221,John Ryan Murphy,Diamondbacks,C,2700,4.61,4.18,4.86,28.26051882639593
222,Austin Barnes,Dodgers,C,2700,5.44,5.13,4.54,28.794836101523646
