Date and Time (ET),Amount,Description,Transaction ID
2018-06-04 12:00:58,-$1.00,Contest Buyin for $1 MLB 50/50 entry,99802
2018-06-04 12:00:48,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,99801
2018-06-04 03:53:09,$1.80,Payout for $1 Beginner MLB 50/50 entry,99795
2018-06-04 03:53:08,$9.00,Payout for $5 MLB 50/50 entry,99791
2018-06-04 03:53:05,$8.00,Payout for $2 MLB Tourney entry,99766
2018-06-04 03:53:02,$3.60,Payout for $2 MLB 50/50 entry,99753
2018-06-04 03:53:00,$1.80,Payout for $1 MLB 50/50 entry,99749
2018-06-03 12:54:32,-$1.00,Contest Buyin for $1 MLB 50/50 entry,99716
2018-06-03 12:54:27,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,99715
2018-06-03 12:54:13,$5.00,Refund for $5 MLB Tourney entry,99714
2018-06-03 12:37:19,-$2.00,Contest Buyin for $2 MLB 50/50 entry,99708
2018-06-03 12:37:15,-$2.00,Contest Buyin for $2 MLB Tourney entry,99707
2018-06-03 12:37:10,-$5.00,Contest Buyin for $5 MLB 50/50 entry,99706
2018-06-03 12:37:06,-$5.00,Contest Buyin for $5 MLB Tourney entry,99705
2018-06-03 06:33:28,$3.60,Payout for $2 MLB 50/50 entry,99660
2018-06-03 06:33:17,$1.80,Payout for $1 MLB 50/50 entry,99640
2018-06-03 06:33:13,$1.80,Payout for $1 Beginner MLB 50/50 entry,99634
2018-06-02 18:56:22,$5.00,Refund for $5 MLB 50/50 entry,99565
2018-06-02 18:55:23,-$5.00,Contest Buyin for $5 MLB 50/50 entry,99560
2018-06-02 18:49:59,-$2.00,Contest Buyin for $2 MLB 50/50 entry,99551
2018-06-02 18:23:35,-$1.00,Contest Buyin for $1 MLB 50/50 entry,99546
2018-06-02 18:23:14,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,99545
2018-06-02 03:08:11,$1.80,Payout for $1 MLB 50/50 entry,99469
2018-06-02 03:08:06,$3.60,Payout for $2 MLB 50/50 entry,99450
2018-06-02 03:07:50,$1.80,Payout for $1 Beginner MLB 50/50 entry,99396
2018-06-01 18:37:48,-$2.00,Contest Buyin for $2 MLB 50/50 entry,99333
2018-06-01 18:22:18,-$1.00,Contest Buyin for $1 MLB 50/50 entry,99328
2018-06-01 11:21:59,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,99257
2018-05-31 12:09:21,$1.80,Payout for $1 Beginner MLB 50/50 entry,98959
2018-05-30 11:14:22,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,98841
2018-05-30 03:30:44,$1.80,Payout for $1 Beginner MLB 50/50 entry,98818
2018-05-30 03:30:36,$3.60,Payout for $2 MLB 50/50 entry,98773
2018-05-30 03:30:34,$1.80,Payout for $1 MLB 50/50 entry,98767
2018-05-29 19:03:45,-$2.00,Contest Buyin for $2 MLB 50/50 entry,98753
2018-05-29 12:16:30,-$1.00,Contest Buyin for $1 MLB 50/50 entry,98681
2018-05-29 12:15:43,$1.00,Refund for $1 MLB 50/50 entry,98680
2018-05-29 12:15:19,-$1.00,Contest Buyin for $1 MLB 50/50 entry,98679
2018-05-29 12:15:02,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,98678
2018-05-29 01:03:32,$1.80,,98587
2018-05-29 00:50:05,$1.80,Payout for $1 Beginner NBA 50/50 entry,98515
2018-05-27 15:13:04,-$1.00,Contest Buyin for $1 Beginner NBA 50/50 entry,98206
2018-05-26 02:14:45,$1.80,Payout for $1 Beginner NBA 50/50 entry,97726
2018-05-24 16:01:47,-$1.00,Contest Buyin for $1 Beginner NBA 50/50 entry,97165
2018-05-23 04:14:18,$1.00,Refund for $1 Beginner NBA 50/50 entry,96740
2018-05-23 01:41:25,-$1.00,Contest Buyin for $1 Beginner NBA 50/50 entry,96590
2018-05-21 20:33:25,$1.00,,96212
