"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Spencer Kieboom","Nationals","WSH @ PHI","C","4.12",".81",".58",".14",".01",".08",".38",".42",".02",".01",".42",".91","4.96","7.73","5.88","13300"
"Jackie Bradley Jr.","Red Sox","BOS @ NYY","CF","3.84",".68",".41",".13",".01",".13",".42",".36",".05",".03",".42","1.18","4.99","7.75","5.85","12984"
"Luke Maile","Blue Jays","DET @ TOR","C","3.91",".71",".44",".17",".01",".09",".41",".39",".03",".02",".47","1.01","4.95","7.70","5.78","13355"
"Josh Phegley","Athletics","CLE @ OAK","C","3.65",".76",".43",".19",".02",".13",".39",".42",".02",".01",".23",".77","4.89","7.62","5.81","9308"
"Jordy Mercer","Pirates","PIT @ SD","SS","3.90",".82",".53",".18",".02",".10",".34",".37",".01",".01",".37",".82","4.87","7.56","5.82","6547"
"C.J. Cron","Rays","HOU @ TB","DH","3.78",".70",".41",".13",".01",".16",".36",".42",".02",".02",".30","1.27","4.87","7.58","5.75","12546"
"Starlin Castro","Marlins","NYM @ MIA","2B","4.02",".98",".72",".18",".02",".06",".33",".41",".02",".01",".20",".98","4.73","7.37","5.81","4579"
"Brandon Drury","Yankees","BOS @ NYY","2B","3.83",".76",".46",".18",".01",".12",".36",".36",".01",".01",".34","1.37","4.77","7.41","5.66","11615"
"Joey Wendle","Rays","HOU @ TB","2B","4.01",".85",".57",".16",".04",".07",".33",".34",".06",".03",".22","1.11","4.66","7.23","5.69","13853"
"Tom Murphy","Rockies","COL @ LAD","C","3.85",".68",".36",".16",".01",".16",".34",".40",".02",".01",".23","1.50","4.69","7.30","5.55","13499"
"Dansby Swanson","Braves","ATL @ STL","SS","3.99",".86",".61",".17",".02",".06",".32",".37",".03",".02",".32",".99","4.65","7.23","5.62","18314"
"Guillermo Heredia","Mariners","KC @ SEA","CF","3.71",".80",".60",".14",".01",".05",".39",".33",".04",".03",".42",".59","4.68","7.26","5.58","18721"
"Sandy Leon","Red Sox","BOS @ NYY","C","3.96",".76",".52",".13",".00",".10",".38",".35",".02",".01",".32","1.17","4.63","7.20","5.53","5273"
"Carlos Gomez","Rays","HOU @ TB","RF","3.65",".67",".40",".13",".01",".12",".33",".36",".07",".03",".28","1.21","4.63","7.20","5.51","4881"
"Jose Iglesias","Tigers","DET @ TOR","SS","3.86",".87",".59",".23",".01",".04",".34",".32",".08",".05",".22",".47","4.56","7.07","5.57","10231"
"Freddy Galvis","Padres","PIT @ SD","SS","3.86",".81",".57",".15",".03",".06",".31",".35",".06",".04",".29",".75","4.57","7.09","5.53","6609"
"JaCoby Jones","Tigers","DET @ TOR","LF","3.74",".74",".46",".17",".03",".08",".36",".32",".08",".04",".22","1.16","4.56","7.07","5.49","14818"
"A.J. Ellis","Padres","PIT @ SD","C","3.73",".75",".52",".16",".00",".07",".31",".36",".02",".01",".43",".67","4.56","7.09","5.41","5677"
"Grayson Greiner","Tigers","DET @ TOR","C","3.98",".75",".46",".17",".01",".11",".34",".36",".01",".01",".29","1.22","4.53","7.04","5.40","17062"
"J.T. Riddle","Marlins","NYM @ MIA","SS","3.91",".85",".59",".15",".04",".07",".28",".38",".03",".02",".22","1.01","4.48","6.97","5.47","17642"
