"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Joey Wendle","Rays","SEA @ TB","2B","4.32","1.14",".78",".23",".06",".08",".47",".47",".06",".04",".22",".74","6.00","9.32","7.34","13853"
"Scott Kingery","Phillies","PHI @ CHC","SS","4.61",".98",".64",".22",".03",".08",".44",".50",".10",".05",".37","1.17","6.02","9.37","7.21","17975"
"Albert Almora Jr.","Cubs","PHI @ CHC","CF","4.57","1.21",".82",".27",".04",".08",".53",".35",".04",".02",".23",".84","5.93","9.18","7.29","14109"
"Joc Pederson","Dodgers","LAD @ PIT","LF","4.67",".94",".54",".25",".02",".13",".49",".37",".05",".03",".43",".90","6.00","9.29","7.14","11899"
"Matt Kemp","Dodgers","LAD @ PIT","LF","4.35","1.10",".72",".26",".01",".12",".47",".52",".01",".01",".23",".89","5.93","9.25","7.16","5631"
"Ryan LaMarre","Twins","CWS @ MIN","LF","4.02",".97",".68",".18",".02",".09",".45",".48",".09",".05",".41","1.14","5.95","9.26","7.12","10700"
"Jake Marisnick","Astros","HOU @ TEX","CF","4.10",".78",".45",".16",".02",".15",".50",".48",".11",".05",".36","1.46","5.97","9.30","7.03","11339"
"Tommy La Stella","Cubs","PHI @ CHC","DH","4.47","1.06",".77",".22",".01",".06",".59",".34",".04",".02",".50",".71","5.94","9.20","7.10","12371"
"Kevin Pillar","Blue Jays","BAL @ TOR","CF","4.09","1.00",".60",".29",".02",".09",".46",".46",".09",".04",".26",".59","5.91","9.19","7.10","12434"
"Matt Davidson","White Sox","CWS @ MIN","DH","4.23",".81",".44",".16",".00",".20",".45",".52",".01",".01",".41","1.54","5.96","9.28","6.98","7226"
"Victor Martinez","Tigers","DET @ BOS","DH","4.42","1.02",".69",".21",".00",".11",".44",".56",".01",".00",".36",".74","5.90","9.21","7.04","393"
"Niko Goodrum","Tigers","DET @ BOS","1B","4.32",".88",".51",".22",".02",".12",".42",".50",".10",".05",".33","1.44","5.92","9.21","7.04","12092"
"Russell Martin","Blue Jays","BAL @ TOR","C","3.97",".74",".41",".16",".00",".16",".49",".49",".01",".01",".61",".86","5.99","9.32","6.90","4616"
"Max Muncy","Dodgers","LAD @ PIT","1B","4.56",".92",".58",".22",".02",".11",".52",".35",".03",".02",".51","1.13","5.90","9.13","6.98","13301"
"Josh Harrison","Pirates","LAD @ PIT","2B","4.53","1.07",".74",".25",".02",".06",".50",".33",".08",".05",".39",".75","5.85","9.03","7.08","8202"
"Jorge Soler","Royals","KC @ OAK","RF","4.24",".86",".52",".18",".00",".15",".46",".45",".02",".02",".47","1.01","5.89","9.16","6.94","14221"
"Yasmani Grandal","Dodgers","LAD @ PIT","C","4.45",".93",".59",".21",".00",".14",".47",".46",".02",".01",".42","1.07","5.86","9.11","6.95","11368"
"Mitch Moreland","Red Sox","DET @ BOS","1B","4.24",".93",".56",".23",".01",".12",".45",".55",".01",".01",".35",".90","5.85","9.13","6.92","3086"
"Lewis Brinson","Marlins","MIA @ STL","CF","4.13",".94",".60",".16",".02",".17",".40",".53",".06",".04",".22","1.06","5.78","9.02","6.96","14352"
"Jake Bauers","Rays","SEA @ TB","LF","3.92",".92",".58",".20",".02",".12",".45",".48",".07",".05",".31",".84","5.77","8.99","6.90","sa737848"
"Rougned Odor","Rangers","HOU @ TEX","2b","3.94",".84",".47",".18",".03",".16",".42",".50",".08",".05",".24","1.16","5.77","8.99","6.88","12282"
"Ehire Adrianza","Twins","CWS @ MIN","SS","3.91",".92",".60",".22",".02",".08",".45",".48",".07",".04",".41",".70","5.78","9.00","6.87","8418"
"Kolten Wong","Cardinals","MIA @ STL","2B","4.00",".89",".60",".17",".04",".09",".40",".46",".05",".03",".50",".60","5.75","8.93","6.82","12532"
"Colin Moran","Pirates","LAD @ PIT","3B","4.02",".95",".64",".19",".02",".10",".41",".50",".02",".01",".43",".74","5.71","8.89","6.80","16909"
"Matt Duffy","Rays","SEA @ TB","3B","4.12","1.17",".90",".20",".02",".06",".45",".41",".07",".04",".19",".65","5.53","8.59","6.84","13836"
"J.T. Riddle","Marlins","MIA @ STL","SS","4.25","1.08",".76",".19",".03",".10",".41",".50",".04",".03",".17",".78","5.54","8.64","6.77","17642"
