PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,LP,OL,2H,PITCHER,CATCHER,UMPIRE,PARK,ROOF,GVF,PLATOON,HFA,PH%,COLD,DK,PA,PAVSSP,PAVSSP%,BA,OBP,SLG,ISO,WOBA,K,BB,HBP,H,1B,2B,3B,HR,RBI,R,SB,CS,HR_DEPENDENCE,DK_0%_PH%,FD_0%_PH%,FPTS,FPTS/$
17844,Aledmys Diaz,4200,BAL,SS,TOR,46180,Aledmys Diaz,6,true,&nbsp,,David Hess,Caleb Joseph,&nbsp,,BAL,&nbsp,,-,false,false,4%,false,7.02,4.06,2.25,55%,0.249,0.293,0.45,0.201,0.313,0.57,0.21,0.04,0.94,0.54,0.21,0.01,0.18,0.47,40%,7.19,9.36,7.02,1.67
10272,Russell Martin,3400,BAL,C,TOR,46180,Russell Martin,7,true,&nbsp,,David Hess,Caleb Joseph,&nbsp,,BAL,&nbsp,,-,false,false,0%,false,7.01,4.07,2.15,53%,0.225,0.337,0.42,0.195,0.329,0.9,0.52,0.07,0.77,0.46,0.13,0,0.18,0.46,40%,7.01,9.38,7.01,2.06
14725,Tim Beckham,3200,TOR,3B/SS,BAL,46180,Tim Beckham,6,true,&nbsp,,Sam Gaviglio,Luke Maile,&nbsp,,BAL,&nbsp,,-,false,true,0%,false,7,3.95,2.33,59%,0.261,0.309,0.439,0.178,0.319,1.02,0.23,0.04,0.95,0.62,0.16,0.02,0.15,0.47,33%,7,9.08,7,2.19
15269,Kyle Higashioka,3300,CHW,C,NYY,46181,Kyle Higashioka,7,true,&nbsp,,Carlos Rodon,Omar Narvaez,&nbsp,,NYY,&nbsp,,-,true,true,17%,false,6.98,3.66,2.21,60%,0.242,0.311,0.463,0.221,0.327,0.82,0.32,0.02,0.8,0.44,0.17,0,0.18,0.56,41%,7.53,10.09,6.98,2.12
13472,Kole Calhoun,3400,COL,OF,LAA,46182,Kole Calhoun,1,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,true,true,4%,false,6.96,4.38,3.47,79%,0.231,0.302,0.385,0.154,0.297,1.15,0.38,0.04,0.91,0.6,0.15,0.02,0.14,0.4,30%,7.02,9.18,6.96,2.05
15036,Cesar Hernandez,4200,WAS,2B,PHI,46176,Cesar Hernandez,3,true,&nbsp,,Stephen Strasburg,Matt Wieters,&nbsp,,PHI,&nbsp,,-,true,true,0%,false,6.93,4.21,2.96,70%,0.255,0.344,0.386,0.131,0.32,1.02,0.5,0.01,0.93,0.67,0.14,0.03,0.09,0.38,20%,6.93,8.97,6.93,1.65
11510,Michael Taylor,3300,PHI,OF,WAS,46176,Michael A. Taylor,6,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,false,false,3%,false,6.93,4.13,2.37,57%,0.227,0.269,0.398,0.171,0.282,1.4,0.21,0.02,0.88,0.52,0.19,0.01,0.15,0.46,33%,7.03,9.12,6.93,2.1
10376,Neil Walker,3300,CHW,1B/2B,NYY,46181,Neil Walker,6,true,&nbsp,,Carlos Rodon,Omar Narvaez,&nbsp,,NYY,&nbsp,,-,true,true,0%,false,6.92,4.04,2.31,57%,0.262,0.348,0.42,0.158,0.331,0.81,0.44,0.04,0.93,0.61,0.18,0.02,0.11,0.46,25%,6.94,9.14,6.92,2.1
34734,Tyler White,4400,OAK,1B,HOU,46178,Tyler White,6,true,&nbsp,,Brett Anderson,Josh Phegley,&nbsp,,HOU,Closed,-,true,true,1%,false,6.9,3.9,2.19,56%,0.25,0.324,0.438,0.188,0.326,0.8,0.36,0.04,0.87,0.53,0.18,0.01,0.15,0.48,0.49,34%,6.95,9.18,6.9,1.57
15508,Yolmer Sanchez,3700,NYY,3B,CHW,46181,Yolmer Sanchez,1,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,true,false,1%,false,6.88,4.48,3,67%,0.24,0.285,0.389,0.149,0.29,1.12,0.26,0.03,0.99,0.65,0.2,0.02,0.13,0.35,28%,6.91,8.84,6.88,1.86
34713,Roman Quinn,4200,WAS,OF,PHI,46176,Roman Quinn,1,true,&nbsp,,Stephen Strasburg,Matt Wieters,&nbsp,,PHI,&nbsp,,-,true,true,0%,false,6.88,4.4,3.17,72%,0.224,0.283,0.349,0.125,0.276,1.29,0.32,0.03,0.9,0.61,0.16,0.03,0.09,0.28,19%,6.9,8.77,6.88,1.64
35706,Yoan Moncada,3900,NYY,2B,CHW,46181,Yoan Moncada,7,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,true,false,0%,false,6.81,3.89,2.42,62%,0.22,0.295,0.422,0.202,0.307,1.5,0.36,0.02,0.77,0.42,0.16,0.01,0.17,0.42,39%,6.81,8.95,6.81,1.75
14786,Matt Davidson,4100,NYY,1B/3B,CHW,46181,Matt Davidson,5,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,false,false,2%,false,6.78,4.08,2.63,64%,0.2,0.262,0.421,0.221,0.289,1.67,0.28,0.04,0.75,0.38,0.13,0,0.23,0.5,53%,6.83,9.12,6.78,1.65
10344,Brandon Belt,3400,ARI,1B,SFG,46179,Brandon Belt,2,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,false,true,4%,true,6.75,4.21,3.26,77%,0.217,0.31,0.393,0.176,0.304,1.3,0.47,0.04,0.8,0.45,0.19,0.02,0.14,0.4,31%,6.84,9.08,6.75,1.99
37180,Matt Chapman,3800,HOU,3B,OAK,46178,Matt Chapman,2,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,false,false,1%,false,6.72,4.39,3.41,78%,0.195,0.266,0.382,0.187,0.278,1.62,0.34,0.06,0.78,0.4,0.19,0.02,0.17,0.44,0.49,39%,6.73,8.94,6.72,1.77
10462,Daniel Descalso,4400,SFG,2B/3B,ARI,46179,Daniel Descalso,6,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,true,false,7%,false,6.64,4.09,2.54,62%,0.242,0.341,0.384,0.142,0.317,0.85,0.52,0.02,0.85,0.55,0.18,0.04,0.08,0.45,19%,6.82,9.03,6.64,1.51
17887,Matt Olson,3700,HOU,1B,OAK,46178,Matt Olson,4,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,true,false,0%,false,6.55,4.19,3.2,76%,0.192,0.281,0.385,0.193,0.287,1.6,0.43,0.04,0.71,0.36,0.17,0,0.18,0.48,0.44,42%,6.55,8.81,6.55,1.77
10405,Jed Lowrie,3700,HOU,2B,OAK,46178,Jed Lowrie,3,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,true,false,0%,false,6.51,4.28,3.28,77%,0.219,0.299,0.382,0.163,0.295,1.23,0.43,0.02,0.83,0.48,0.2,0.01,0.13,0.44,0.42,32%,6.51,8.61,6.51,1.76
11267,Josh Reddick,3400,OAK,OF,HOU,46178,Josh Reddick,8,true,&nbsp,,Brett Anderson,Josh Phegley,&nbsp,,HOU,Closed,H,false,true,0%,false,6.49,3.76,1.99,53%,0.266,0.335,0.417,0.151,0.323,0.54,0.35,0.01,0.89,0.62,0.15,0.02,0.11,0.41,0.44,25%,6.49,8.43,6.49,1.91
10280,Matt Wieters,3400,PHI,C,WAS,46176,Matt Wieters,7,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,true,false,5%,false,6.46,3.98,2.28,57%,0.234,0.287,0.416,0.182,0.298,0.79,0.27,0.02,0.85,0.51,0.18,0.01,0.16,0.47,37%,6.64,8.72,6.46,1.9
10487,Ian Desmond,4300,LAA,1B,COL,46182,Ian Desmond,9,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,false,false,1%,false,6.44,3.82,2.25,59%,0.24,0.302,0.394,0.154,0.301,0.93,0.28,0.04,0.83,0.55,0.15,0.01,0.12,0.41,29%,6.47,8.43,6.44,1.5
15782,Ketel Marte,3700,SFG,2B/SS,ARI,46179,Ketel Marte,7,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,true,false,0%,false,6.38,4.11,2.45,60%,0.267,0.326,0.38,0.113,0.307,0.5,0.34,0.01,1,0.71,0.19,0.05,0.04,0.41,10%,6.38,8.15,6.38,1.72
16222,Devon Travis,3500,BAL,2B,TOR,46180,Devon Travis,9,true,&nbsp,,David Hess,Caleb Joseph,&nbsp,,BAL,&nbsp,,-,false,false,0%,true,6.37,3.87,1.94,50%,0.255,0.299,0.424,0.169,0.308,0.67,0.21,0.03,0.92,0.58,0.19,0.01,0.13,0.4,32%,6.37,8.22,6.37,1.82
13407,Marwin Gonzalez,4100,OAK,OF/SS,HOU,46178,Marwin Gonzalez,5,true,&nbsp,,Brett Anderson,Josh Phegley,&nbsp,,HOU,Closed,-,true,true,10%,false,6.35,3.83,2.27,59%,0.255,0.316,0.406,0.151,0.31,0.79,0.3,0.03,0.89,0.58,0.19,0.02,0.1,0.42,0.42,24%,6.67,8.67,6.35,1.55
10279,Chris Iannetta,3200,LAA,C,COL,46182,Chris Iannetta,8,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,false,false,0%,false,6.32,3.97,2.38,60%,0.215,0.316,0.381,0.166,0.304,0.99,0.44,0.07,0.74,0.44,0.16,0,0.14,0.43,33%,6.32,8.47,6.32,1.98
34708,Jose Rondon,3600,NYY,3B/SS,CHW,46181,Jose Rondon,2,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,false,false,18%,false,6.31,4.11,2.89,70%,0.23,0.26,0.385,0.155,0.275,1.19,0.16,0.02,0.89,0.58,0.16,0.01,0.14,0.39,36%,6.72,8.64,6.31,1.75
17889,Renato Nunez,3800,TOR,3B,BAL,46180,Renato Nunez,7,true,&nbsp,,Sam Gaviglio,Luke Maile,&nbsp,,BAL,&nbsp,,-,false,true,5%,false,6.3,3.76,2.22,59%,0.235,0.289,0.418,0.183,0.301,0.99,0.22,0.05,0.81,0.5,0.16,0,0.15,0.46,38%,6.46,8.51,6.3,1.66
15478,Jace Peterson,3400,TOR,3B/OF,BAL,46180,Jace Peterson,8,true,&nbsp,,Sam Gaviglio,Luke Maile,&nbsp,,BAL,&nbsp,,-,true,true,5%,false,6.3,3.68,2.12,58%,0.262,0.348,0.393,0.131,0.324,0.61,0.42,0.02,0.84,0.58,0.16,0.02,0.07,0.32,17%,6.43,8.3,6.3,1.85
10275,Nick Hundley,3400,ARI,C,SFG,46179,Nick Hundley,4,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,true,true,9%,false,6.27,3.96,3.05,77%,0.237,0.288,0.396,0.159,0.292,1.14,0.27,0.01,0.87,0.54,0.18,0.02,0.12,0.47,30%,6.41,8.37,6.27,1.84
17799,Nick Williams,4000,WAS,OF,PHI,46176,Nick Williams,8,true,&nbsp,,Stephen Strasburg,Matt Wieters,&nbsp,,PHI,&nbsp,,-,true,true,10%,false,6.27,3.51,2.44,70%,0.252,0.306,0.463,0.211,0.324,1.14,0.22,0.04,0.81,0.48,0.15,0.03,0.16,0.41,39%,6.5,8.46,6.27,1.57
37483,Ryan McMahon,3800,LAA,1B/2B,COL,46182,Ryan McMahon,7,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,true,false,0%,false,6.24,4.07,2.49,61%,0.235,0.303,0.379,0.144,0.294,1.2,0.33,0.04,0.86,0.55,0.19,0.01,0.1,0.41,26%,6.24,8.15,6.24,1.64
10591,Gerardo Parra,3800,LAA,OF,COL,46182,Gerardo Parra,6,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,true,false,3%,false,6.23,4.14,2.62,63%,0.259,0.31,0.376,0.117,0.297,0.72,0.26,0.04,0.99,0.7,0.19,0.01,0.07,0.37,18%,6.31,8.03,6.23,1.64
37436,Nicky Delmonico,4000,NYY,OF,CHW,46181,Nick Delmonico,8,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,true,false,8%,false,6.19,3.66,2.31,63%,0.241,0.303,0.436,0.195,0.314,0.97,0.28,0.02,0.8,0.47,0.16,0.01,0.16,0.38,39%,6.41,8.37,6.19,1.55
18414,John Ryan Murphy,2700,SFG,C,ARI,46179,John Ryan Murphy,8,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,false,false,0%,false,6.18,3.99,2.34,59%,0.24,0.289,0.383,0.143,0.289,0.88,0.26,0.02,0.88,0.57,0.2,0.01,0.1,0.47,25%,6.19,8.1,6.18,2.29
10322,Albert Pujols,3500,COL,1B,LAA,46182,Albert Pujols,5,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,false,true,0%,false,6.07,3.97,3.04,77%,0.224,0.264,0.382,0.158,0.274,0.69,0.19,0.03,0.83,0.54,0.14,0,0.15,0.47,37%,6.07,7.95,6.07,1.73
37078,Austin Slater,3400,ARI,1B/OF,SFG,46179,Austin Slater,5,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,true,true,4%,false,6.02,3.91,2.97,76%,0.266,0.327,0.38,0.114,0.307,1.01,0.31,0.03,0.94,0.68,0.18,0.02,0.06,0.37,15%,6.08,7.77,6.02,1.77
16136,Stephen Piscotty,3300,HOU,OF,OAK,46178,Stephen Piscotty,5,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,false,false,2%,false,5.91,4.06,3.1,76%,0.219,0.277,0.37,0.151,0.28,1.15,0.25,0.06,0.82,0.5,0.19,0.01,0.12,0.38,0.37,31%,5.94,7.72,5.91,1.79
36161,Tomas Nido,2900,CHC,C,NYM,46177,Tomas Nido,8,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,true,false,34%,false,5.82,3.44,2.11,61%,0.267,0.307,0.445,0.178,0.319,0.69,0.18,0.02,0.86,0.53,0.2,0.01,0.12,0.39,33%,6.9,8.91,5.82,2.01
18851,Wilmer Difo,3200,PHI,2B/3B,WAS,46176,Wilmer Difo,8,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,true,false,3%,false,5.78,3.95,2.19,55%,0.239,0.283,0.368,0.129,0.279,0.8,0.22,0.02,0.88,0.59,0.18,0.03,0.08,0.34,21%,5.86,7.45,5.78,1.81
14880,Joe Panik,2900,ARI,2B,SFG,46179,Joe Panik,2,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,false,true,0%,false,5.72,4.26,3.26,77%,0.238,0.295,0.333,0.095,0.276,0.62,0.3,0.04,0.92,0.68,0.16,0.02,0.05,0.29,14%,5.72,7.28,5.72,1.97
385035,David Fletcher,3300,COL,2B/3B,LAA,46182,David Fletcher,2,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,false,true,3%,false,5.71,4.25,3.33,78%,0.244,0.279,0.332,0.088,0.267,0.69,0.17,0.04,0.97,0.72,0.2,0.01,0.04,0.32,11%,5.75,7.25,5.71,1.73
37378,Andrew Stevenson,3300,PHI,OF,WAS,46176,Andrew Stevenson,7,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,true,false,0%,false,5.7,4.07,2.28,56%,0.234,0.278,0.344,0.11,0.27,1.05,0.23,0.02,0.88,0.63,0.15,0.02,0.07,0.35,19%,5.73,7.27,5.7,1.73
10293,Alex Avila,3000,SFG,C,ARI,46179,Alex Avila,8,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,true,false,14%,false,5.7,3.76,2.34,62%,0.214,0.337,0.344,0.13,0.305,1.18,0.57,0.02,0.67,0.44,0.14,0.01,0.09,0.38,24%,6.04,8.12,5.7,1.9
35258,Omar Narvaez,3500,NYY,C,CHW,46181,Omar Narvaez,6,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,true,false,0%,false,5.66,4.01,2.55,64%,0.25,0.313,0.364,0.114,0.296,0.81,0.34,0.02,0.9,0.67,0.14,0.01,0.09,0.31,23%,5.66,7.22,5.66,1.62
10535,Hunter Pence,3200,ARI,OF,SFG,46179,Hunter Pence,6,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,true,true,8%,false,5.55,3.75,2.86,76%,0.253,0.305,0.38,0.127,0.296,0.87,0.26,0.01,0.88,0.62,0.15,0.03,0.07,0.34,20%,5.66,7.2,5.55,1.73
15633,Marcus Semien,3200,HOU,SS,OAK,46178,Marcus Semien,6,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,false,false,0%,false,5.53,3.97,3,76%,0.218,0.272,0.351,0.133,0.27,1.12,0.26,0.02,0.8,0.52,0.17,0.01,0.1,0.32,0.33,26%,5.53,7.1,5.53,1.73
11183,Rene Rivera,2700,COL,C,LAA,46182,Rene Rivera,6,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,false,true,0%,false,5.51,3.85,2.93,76%,0.205,0.255,0.355,0.15,0.262,1.32,0.2,0.05,0.73,0.46,0.13,0,0.13,0.4,37%,5.51,7.23,5.51,2.04
13484,Andrelton Simmons,3600,COL,SS,LAA,46182,Andrelton Simmons,6,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,false,true,4%,false,5.49,3.8,2.93,77%,0.256,0.296,0.36,0.104,0.284,0.41,0.19,0.03,0.9,0.67,0.16,0.01,0.06,0.32,17%,5.57,7.01,5.49,1.53
15179,Mark Canha,3000,HOU,OF,OAK,46178,Mark Canha,7,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,false,false,2%,true,5.48,3.81,2.85,75%,0.207,0.267,0.368,0.161,0.273,1.24,0.21,0.08,0.72,0.42,0.17,0.01,0.13,0.36,0.35,36%,5.51,7.21,5.48,1.83
369919,Nick Martini,3300,HOU,OF,OAK,46178,Nick Martini,1,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,true,false,11%,false,5.47,4.41,3.53,80%,0.205,0.288,0.292,0.087,0.261,1.42,0.42,0.05,0.8,0.58,0.16,0.02,0.05,0.23,0.38,13%,5.63,7.25,5.47,1.66
35651,Chad Pinder,2800,HOU,2B/OF,OAK,46178,Chad Pinder,6,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,false,false,5%,false,5.37,3.91,3,77%,0.204,0.256,0.35,0.146,0.262,1.44,0.19,0.07,0.74,0.45,0.16,0.01,0.12,0.35,0.34,34%,5.45,7.08,5.37,1.92
11266,Brandon Crawford,3200,ARI,SS,SFG,46179,Brandon Crawford,6,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,false,true,2%,true,5.29,3.8,2.86,75%,0.217,0.281,0.348,0.131,0.269,1.06,0.28,0.04,0.75,0.49,0.16,0.02,0.09,0.35,25%,5.33,6.93,5.29,1.65
16161,Alen Hanson,3100,ARI,2B/OF,SFG,46179,Alen Hanson,7,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,true,true,4%,true,5.28,3.65,2.73,75%,0.237,0.275,0.355,0.118,0.271,0.94,0.18,0.01,0.81,0.57,0.13,0.07,0.04,0.29,12%,5.36,6.69,5.28,1.7
13505,Gorkys Hernandez,3000,ARI,OF,SFG,46179,Gorkys Hernandez,8,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,true,true,6%,true,5.19,3.51,2.6,74%,0.244,0.299,0.369,0.125,0.29,0.94,0.25,0.02,0.78,0.54,0.15,0.02,0.07,0.3,20%,5.28,6.72,5.19,1.73
10290,Jeff Mathis,2500,SFG,C,ARI,46179,Jeff Mathis,8,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,false,false,6%,false,5.16,3.89,2.34,60%,0.23,0.287,0.325,0.095,0.269,0.94,0.28,0.02,0.82,0.58,0.18,0.01,0.04,0.33,13%,5.3,6.83,5.16,2.06
17557,Luke Maile,3000,BAL,C,TOR,46180,Luke Maile,8,true,&nbsp,,David Hess,Caleb Joseph,&nbsp,,BAL,&nbsp,,-,false,false,3%,false,5.14,3.92,2.05,52%,0.2,0.262,0.326,0.126,0.258,0.98,0.28,0.03,0.71,0.45,0.16,0,0.09,0.32,28%,5.22,6.81,5.14,1.71
15030,Jefry Marte,3100,COL,1B/3B,LAA,46182,Jefry Marte,7,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,false,true,10%,false,5.13,3.64,2.8,77%,0.206,0.262,0.345,0.139,0.263,0.98,0.21,0.06,0.69,0.44,0.14,0,0.11,0.36,32%,5.28,6.91,5.13,1.65
38057,Ramon Laureano,3300,HOU,OF,OAK,46178,Ramon Laureano,7,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,false,false,1%,false,5.13,3.82,2.85,75%,0.19,0.247,0.322,0.132,0.248,1.52,0.22,0.05,0.67,0.41,0.15,0.02,0.1,0.31,0.3,29%,5.15,6.66,5.13,1.55
15742,Ronald Torreyes,2700,CHW,2B/SS,NYY,46181,Ronald Torreyes,8,true,&nbsp,,Carlos Rodon,Omar Narvaez,&nbsp,,NYY,&nbsp,,-,true,true,23%,false,5.08,3.44,2.1,61%,0.279,0.321,0.365,0.086,0.3,0.44,0.2,0.02,0.88,0.68,0.15,0.02,0.03,0.28,8%,5.69,7.13,5.08,1.88
14927,Caleb Joseph,2800,TOR,C,BAL,46180,Caleb Joseph,9,true,&nbsp,,Sam Gaviglio,Luke Maile,&nbsp,,BAL,&nbsp,,-,false,true,11%,false,5.03,3.46,2.01,58%,0.239,0.279,0.363,0.124,0.277,0.82,0.16,0.03,0.77,0.54,0.14,0.01,0.08,0.32,25%,5.3,6.8,5.03,1.8
13851,Chase d'Arnaud,2900,ARI,2B/3B,SFG,46179,Chase d'Arnaud,7,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,true,true,30%,false,4.98,3.41,2.73,80%,0.225,0.286,0.353,0.128,0.277,0.93,0.25,0.03,0.7,0.47,0.13,0.03,0.07,0.3,21%,5.41,6.93,4.98,1.72
36236,Adam Engel,3000,NYY,OF,CHW,46181,Adam Engel,9,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,false,false,6%,false,4.91,3.57,2.19,61%,0.199,0.242,0.317,0.118,0.244,1.25,0.16,0.05,0.66,0.44,0.13,0.01,0.08,0.26,25%,5.05,6.45,4.91,1.64
16164,Tony Wolters,3000,LAA,C,COL,46182,Tony Wolters,8,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,true,false,14%,false,4.87,3.74,2.38,64%,0.223,0.307,0.306,0.083,0.273,0.76,0.37,0.05,0.73,0.55,0.12,0.02,0.04,0.26,12%,5.16,6.67,4.87,1.62
493497,Taylor Ward,3100,COL,3B,LAA,46182,Taylor Ward,8,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,false,true,11%,false,4.84,3.5,2.67,76%,0.218,0.283,0.33,0.112,0.269,1.01,0.27,0.02,0.69,0.49,0.12,0,0.08,0.3,24%,5,6.47,4.84,1.56
11487,Martin Maldonado,3600,OAK,C,HOU,46178,Martin Maldonado,9,true,&nbsp,,Brett Anderson,Josh Phegley,&nbsp,,HOU,Closed,-,true,true,16%,false,4.8,3.37,1.89,56%,0.216,0.272,0.348,0.132,0.27,0.82,0.19,0.06,0.66,0.44,0.12,0.01,0.09,0.33,0.35,29%,5.19,6.8,4.8,1.33
15213,Ryan LaMarre,3100,NYY,OF,CHW,46181,Ryan LaMarre,7,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,false,false,4%,false,4.75,3.82,2.42,63%,0.202,0.25,0.298,0.096,0.241,1.4,0.2,0.05,0.72,0.51,0.13,0.01,0.07,0.26,22%,4.84,6.15,4.75,1.53
15993,Kevan Smith,3400,NYY,C,CHW,46181,Kevan Smith,8,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,false,false,9%,false,4.72,3.65,2.31,63%,0.243,0.279,0.338,0.095,0.269,0.73,0.14,0.04,0.83,0.64,0.13,0,0.06,0.26,21%,4.9,6.14,4.72,1.39
15631,Kaleb Cowart,3000,COL,3B/OF,LAA,46182,Kaleb Cowart,7,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,true,true,10%,false,4.62,3.64,2.8,77%,0.19,0.25,0.295,0.105,0.24,1.2,0.25,0.02,0.64,0.42,0.14,0.01,0.06,0.28,21%,4.76,6.16,4.62,1.54
34723,Spencer Kieboom,2800,PHI,C,WAS,46176,Spencer Kieboom,8,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,false,false,21%,false,4.55,3.6,2.19,61%,0.217,0.263,0.325,0.108,0.256,0.81,0.19,0.03,0.73,0.5,0.16,0,0.06,0.29,23%,5.06,6.48,4.55,1.63
11064,Jonathan Lucroy,2800,HOU,C,OAK,46178,Jonathan Lucroy,9,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,false,false,5%,false,4.54,3.5,2.58,74%,0.23,0.281,0.335,0.105,0.269,0.72,0.21,0.03,0.74,0.53,0.15,0.01,0.05,0.24,0.28,19%,4.62,5.86,4.54,1.62
15086,Josh Phegley,2700,HOU,C,OAK,46178,Josh Phegley,8,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,false,false,5%,false,4.51,3.64,2.72,75%,0.185,0.241,0.312,0.127,0.24,1.19,0.19,0.07,0.62,0.37,0.15,0.01,0.09,0.28,0.29,30%,4.58,5.98,4.51,1.67
18012,Eric Young,2800,COL,OF,LAA,46182,Eric Young Jr.,9,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,true,true,3%,false,4.42,3.43,2.53,74%,0.195,0.258,0.278,0.083,0.24,1.02,0.24,0.04,0.61,0.45,0.1,0.02,0.04,0.22,14%,4.48,5.71,4.42,1.58
472708,Francisco Arcia,3900,COL,C,LAA,46182,Francisco Arcia,7,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,true,true,16%,false,4.31,3.58,2.8,78%,0.207,0.26,0.293,0.086,0.245,1,0.19,0.06,0.68,0.51,0.11,0.01,0.05,0.26,19%,4.51,5.77,4.31,1.11
446479,Steven Duggar,3300,ARI,OF,SFG,46179,Steven Duggar,8,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,false,true,0%,false,4.18,3.57,2.6,73%,0.189,0.26,0.273,0.084,0.238,1.41,0.3,0.02,0.61,0.42,0.14,0.02,0.03,0.21,11%,4.18,5.35,4.18,1.27
