,Year,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+
46,1991,Orioles,1854.0,5604.0,6257.0,1421.0,966.0,256.0,29.0,170.0,686.0,660.0,528.0,33.0,974.0,33.0,45.0,47.0,147.0,50.0,33.0,0.254,8.4,15.6,0.54,0.319,0.401,0.72,0.147,3.6,0.278, , ,-3.2,728.0,22.4,0.323,101.0
47,1991,Dodgers,2229.0,5408.0,6159.0,1366.0,1038.0,191.0,29.0,108.0,665.0,605.0,583.0,50.0,957.0,28.0,46.0,94.0,109.0,126.0,68.0,0.253,9.5,15.5,0.61,0.326,0.359,0.685,0.106,4.5,0.287, , ,-1.9,653.0,-41.4,0.31,97.0
48,1991,Tigers,1792.0,5547.0,6359.0,1372.0,878.0,259.0,26.0,209.0,817.0,778.0,699.0,40.0,1185.0,31.0,44.0,38.0,90.0,109.0,47.0,0.247,11.0,18.6,0.59,0.333,0.416,0.749,0.169,4.6,0.277, , ,3.0,805.0,88.2,0.336,106.0
49,1991,Expos,2200.0,5411.0,6035.0,1329.0,956.0,236.0,42.0,95.0,579.0,536.0,484.0,51.0,1056.0,28.0,47.0,65.0,97.0,221.0,100.0,0.246,8.0,17.5,0.46,0.308,0.357,0.666,0.112,5.3,0.287, , ,4.5,590.0,-90.8,0.3,88.0
50,1991,Padres,2171.0,5408.0,6057.0,1321.0,960.0,204.0,36.0,121.0,636.0,591.0,501.0,60.0,1069.0,32.0,38.0,78.0,122.0,101.0,64.0,0.244,8.3,17.6,0.47,0.31,0.362,0.673,0.118,4.5,0.282, , ,-5.3,605.0,-77.9,0.302,87.0
51,1991,Phillies,2215.0,5521.0,6133.0,1332.0,940.0,248.0,33.0,111.0,629.0,590.0,490.0,48.0,1026.0,21.0,49.0,52.0,115.0,92.0,30.0,0.241,8.0,16.7,0.48,0.303,0.358,0.662,0.117,4.5,0.275, , ,6.4,591.0,-100.7,0.297,85.0
52,1992,Twins,1816.0,5582.0,6267.0,1544.0,1138.0,275.0,27.0,104.0,747.0,701.0,527.0,53.0,834.0,53.0,59.0,46.0,132.0,123.0,74.0,0.277,8.4,13.3,0.63,0.341,0.391,0.733,0.115,4.5,0.306, , ,-5.4,746.0,69.4,0.331,103.0
53,1992,Indians,1723.0,5620.0,6201.0,1495.0,1117.0,227.0,24.0,127.0,674.0,637.0,448.0,46.0,885.0,45.0,44.0,42.0,140.0,144.0,67.0,0.266,7.2,14.3,0.51,0.323,0.383,0.706,0.117,4.4,0.294, , ,1.6,681.0,10.9,0.319,98.0
54,1992,Blue Jays,1645.0,5536.0,6224.0,1458.0,990.0,265.0,40.0,163.0,780.0,737.0,561.0,41.0,933.0,47.0,54.0,26.0,123.0,129.0,39.0,0.263,9.0,15.0,0.6,0.333,0.414,0.747,0.151,5.2,0.288, , ,9.2,767.0,94.9,0.337,108.0
55,1992,Yankees,1666.0,5593.0,6262.0,1462.0,1000.0,281.0,18.0,163.0,733.0,703.0,536.0,51.0,903.0,42.0,55.0,26.0,138.0,78.0,37.0,0.261,8.6,14.4,0.59,0.328,0.406,0.733,0.144,3.9,0.284, , ,-0.2,740.0,63.6,0.33,107.0
