"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Khris Davis","Athletics","OAK @ KC","DH","4.56","1.06",".51",".21",".01",".33",".69",".85",".01",".01",".44","1.16","8.56","13.40","9.96","9112"
"Jose Ramirez","Indians","CLE @ MIN","3B","4.67","1.23",".67",".35",".03",".18",".68",".70",".10",".06",".50",".59","8.51","13.26","10.05","13510"
"Paul Goldschmidt","Diamondbacks","MIA @ ARI","1B","4.50","1.15",".64",".25",".04",".23",".78",".60",".08",".04",".58",".95","8.54","13.27","10.04","9218"
"Kris Bryant","Cubs","CHC @ NYM","3B","4.67","1.15",".65",".24",".02",".24",".73",".67",".03",".02",".65","1.05","8.55","13.30","9.99","15429"
"Anthony Rizzo","Cubs","CHC @ NYM","1B","4.57","1.08",".60",".22",".01",".26",".71",".77",".03",".03",".65",".70","8.54","13.33","9.91","3473"
"Jake Lamb","Diamondbacks","MIA @ ARI","3B","4.40","1.05",".50",".25",".06",".24",".72",".71",".03",".02",".60",".88","8.46","13.18","9.84","13329"
"Enrique Hernandez","Dodgers","LAD @ COL","SS","4.93","1.11",".60",".24",".05",".21",".82",".64",".03",".02",".60","1.14","8.40","13.08","9.79","10472"
"Lorenzo Cain","Brewers","MIL @ CWS","CF","4.94","1.18",".78",".23",".02",".16",".69",".50",".16",".08",".75",".83","8.36","12.93","9.88","9077"
"Justin Bour","Marlins","MIA @ ARI","1B","4.58","1.09",".61",".20",".01",".27",".69",".69",".01",".00",".64",".77","8.33","12.98","9.70","9744"
"Nicholas Castellanos","Tigers","TOR @ DET","RF","4.53","1.29",".70",".32",".07",".20",".76",".63",".03",".02",".34",".85","8.25","12.84","9.83","11737"
"Josh Donaldson","Blue Jays","TOR @ DET","3B","4.71","1.10",".60",".24",".02",".24",".73",".61",".03",".02",".67",".95","8.30","12.89","9.68","5038"
"Teoscar Hernandez","Blue Jays","TOR @ DET","RF","4.82","1.22",".63",".30",".06",".22",".69",".60",".12",".08",".28","1.11","8.20","12.74","9.81","13066"
"Freddie Freeman","Braves","WSH @ ATL","1B","4.38","1.18",".66",".30",".02",".21",".68",".62",".04",".02",".62",".84","8.26","12.84","9.71","5361"
"Anthony Rendon","Nationals","WSH @ ATL","3B","4.71","1.16",".67",".32",".01",".16",".69",".68",".04",".02",".67",".74","8.24","12.83","9.61","12861"
"Jesus Aguilar","Brewers","MIL @ CWS","1B","4.71","1.06",".59",".20",".00",".27",".67",".76",".01",".00",".58","1.17","8.21","12.83","9.55","11342"
"Yasiel Puig","Dodgers","LAD @ COL","RF","4.27","1.12",".64",".21",".03",".23",".61",".76",".07",".05",".47",".76","8.16","12.75","9.62","14225"
"Cody Bellinger","Dodgers","LAD @ COL","1B","4.50","1.09",".61",".21",".04",".24",".69",".73",".05",".03",".49","1.14","8.18","12.77","9.59","15998"
"David Dahl","Rockies","LAD @ COL","LF","4.47","1.17",".70",".21",".08",".18",".63",".80",".09",".05",".35","1.24","8.12","12.70","9.65","13744"
"Mookie Betts","Red Sox","BOS @ HOU","RF","4.68","1.17",".66",".27",".02",".22",".65",".54",".15",".06",".38",".90","8.07","12.51","9.64","13611"
"Francisco Lindor","Indians","CLE @ MIN","SS","4.90","1.21",".71",".28",".03",".19",".71",".58",".08",".05",".48",".78","8.08","12.54","9.58","12916"
"Kyle Schwarber","Cubs","CHC @ NYM","LF","4.35",".94",".48",".13",".02",".31",".63",".77",".03",".02",".59","1.25","8.12","12.69","9.41","16478"
"Eddie Rosario","Twins","CLE @ MIN","LF","4.51","1.25",".70",".28",".04",".23",".67",".66",".08",".06",".21",".94","7.98","12.43","9.58","12155"
"J.D. Martinez","Red Sox","BOS @ HOU","DH","4.47","1.10",".54",".24",".01",".32",".62",".76",".01",".01",".27","1.51","7.99","12.50","9.44","6184"
