"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Alcides Escobar","Royals","TEX @ KC","SS","4.07","1.00",".70",".21",".04",".05",".42",".40",".05",".03",".14",".47","5.06","7.87","6.20","6310"
"Jordy Mercer","Pirates","MIL @ PIT","SS","3.87",".88",".60",".19",".02",".07",".36",".48",".01",".01",".37",".58","5.11","7.97","6.09","6547"
"Joey Wendle","Rays","TB @ HOU","2B","4.10",".94",".60",".20",".06",".08",".36",".37",".06",".04",".19","1.12","5.00","7.75","6.12","13853"
"Kevan Smith","White Sox","CWS @ CLE","C","4.09","1.01",".70",".21",".00",".09",".39",".38",".01",".01",".21",".83","4.98","7.74","6.09","12284"
"Luis Valbuena","Angels","ARI @ LAA","1B","3.78",".70",".39",".13",".00",".18",".37",".44",".01",".01",".30","1.14","4.99","7.78","5.88","4969"
"Miguel Rojas","Marlins","MIA @ SF","SS","4.06","1.00",".75",".18",".02",".05",".32",".38",".03",".02",".29",".49","4.85","7.53","5.95","7802"
"Mallex Smith","Rays","TB @ HOU","LF","3.87",".83",".59",".14",".06",".03",".31",".29",".18",".09",".27","1.11","4.85","7.48","5.95","13608"
"Nick Ahmed","Diamondbacks","ARI @ LAA","SS","3.95",".79",".50",".15",".01",".12",".36",".43",".05",".04",".22",".86","4.87","7.59","5.84","12147"
"Kelby Tomlinson","Giants","MIA @ SF","2B","4.09",".85",".69",".12",".04",".01",".36",".37",".09",".05",".45",".94","4.85","7.53","5.84","13005"
"Andrelton Simmons","Angels","ARI @ LAA","SS","3.90",".95",".70",".17",".01",".06",".35",".33",".07",".04",".24",".40","4.79","7.42","5.89","10847"
"Jose  Miguel Fernandez","Angels","ARI @ LAA","1B","4.01",".84",".55",".17",".01",".11",".36",".37",".03",".02",".24",".69","4.74","7.37","5.72","19254"
"Carlos Gomez","Rays","TB @ HOU","RF","3.74",".70",".41",".15",".01",".12",".33",".38",".08",".03",".25","1.35","4.71","7.32","5.62","4881"
"Adam Engel","White Sox","CWS @ CLE","CF","3.72",".70",".44",".15",".02",".09",".35",".34",".12",".06",".26","1.31","4.68","7.26","5.61","15082"
"J.P. Crawford","Phillies","STL @ PHI","SS","3.63",".74",".47",".15",".03",".09",".39",".31",".04",".02",".32",".79","4.60","7.13","5.49","15491"
"Willy Adames","Rays","TB @ HOU","SS","3.99",".79",".54",".15",".03",".08",".31",".33",".05",".04",".23","1.48","4.43","6.87","5.38","15986"
"Johnny Field","Rays","TB @ HOU","LF","3.61",".72",".43",".18",".01",".09",".31",".34",".06",".03",".14","1.19","4.23","6.58","5.12","15048"
"Charlie Tilson","White Sox","CWS @ CLE","LF","3.85",".83",".62",".16",".03",".02",".29",".30",".09",".05",".19",".80","4.12","6.39","5.09","12983"
"Chris Young","Angels","ARI @ LAA","RF","3.51",".64",".40",".13",".00",".10",".31",".32",".04",".02",".27",".94","4.13","6.41","4.91","3882"
"Yadiel Rivera","Marlins","MIA @ SF","DH","3.94",".72",".53",".13",".03",".04",".29",".30",".04",".03",".31","1.08","4.00","6.20","4.83","11863"
"Martin Maldonado","Angels","ARI @ LAA","C","3.63",".71",".47",".14",".00",".09",".30",".32",".01",".01",".19",".95","3.93","6.12","4.75","6887"
"Jeff Mathis","Diamondbacks","ARI @ LAA","C","3.83",".64",".48",".12",".01",".04",".31",".25",".02",".01",".37","1.17","3.72","5.77","4.43","3448"
